Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-09-16	127.709999	127.709999	126.339996	126.699997	7990800	126.699997	-	-0.790855851467	
2016-09-15	127.57	128.460007	126.940002	127.769997	3462400	127.769997	+	0.156774319981	
2016-09-14	128.910004	129.309998	127.339996	127.669998	3955400	127.669998	-	-0.961916035624	
2016-09-13	129.220001	130.020004	128.259995	128.759995	4552400	128.759995	-	-0.355986686612	
2016-09-12	126.879997	130.679993	126.309998	130.119995	6381100	130.119995	+	2.55359243112	
2016-09-09	131.940002	131.940002	128.520004	128.529999	4892900	128.529999	-	-2.58451034433	
2016-09-08	132.320007	132.910004	131.509995	132.899994	2618300	132.899994	+	0.438321470161	
2016-09-07	132.479996	133.080002	132.00	132.639999	2198700	132.639999	+	0.120775214999	
2016-09-06	131.630005	132.990005	131.270004	132.990005	4151800	132.990005	+	1.0331990795	
2016-09-02	130.889999	131.960007	130.580002	131.160004	2631000	131.160004	+	0.20628390409	
