Date	Open	High	Low	Close	Volume	Ex-Dividend	Split Ratio	Adj. Open	Adj. High	Adj. Low	Adj. Close	Adj. Volume	+/-	% change	
2016-07-01	84.52	84.99	84.51	84.78	9530706.0	0.0	1.0	81.2945110387	81.7465746945	81.284892663	81.5445888057	9530706.0	+	0.307619498297	
2016-07-05	84.48	85.95	84.45	85.44	11395171.0	0.0	1.0	81.256037536	82.6699387574	81.2271824091	82.179401599	11395171.0	+	1.13636363648	
2016-07-06	85.37	85.5	84.74	85.03	8356546.0	0.0	1.0	82.1120729694	82.2371118529	81.5061153031	81.7850481971	8356546.0	-	-0.398266369943	
2016-07-07	85.23	85.24	84.525	84.83	7905843.0	0.0	1.0	81.9774157102	81.9870340859	81.2993202265	81.592680684	7905843.0	-	-0.469318315132	
2016-07-08	84.98	85.9	84.77	85.77	6827349.0	0.0	1.0	81.7369563188	82.6218468791	81.5349704301	82.4968079956	6827349.0	+	0.929630501332	
2016-07-11	85.61	85.95	84.91	85.75	6156824.0	0.0	1.0	82.3429139851	82.6699387574	81.6696276892	82.4775712443	6156824.0	+	0.16353229766	
2016-07-12	85.49	85.94	85.19	85.75	6649502.0	0.0	1.0	82.2274934772	82.6603203817	81.9389422076	82.4775712443	6649502.0	+	0.304129137986	
2016-07-13	85.81	86.15	85.41	85.89	7571473.0	0.0	1.0	82.5352814982	82.8623062705	82.150546472	82.6122285034	7571473.0	+	0.0932292273113	
2016-07-14	86.44	86.89	85.85	85.87	11342573.0	0.0	1.0	83.1412391645	83.574066069	82.5737550008	82.5929917521	11342573.0	-	-0.65941693666	
2016-07-15	86.25	86.48	85.79	86.01	8491347.0	0.0	1.0	82.958490027	83.1797126671	82.5160447469	82.7276490113	8491347.0	-	-0.278260869532	
2016-07-18	86.02	86.05	85.7	85.93	4781778.0	0.0	1.0	82.737267387	82.7661225139	82.429479366	82.6507020061	4781778.0	-	-0.104626830972	
2016-07-19	85.67	86.18	85.56	86.17	6077431.0	0.0	1.0	82.400624239	82.8911613975	82.2948221068	82.8815430218	6077431.0	+	0.583634878062	
2016-07-20	85.38	85.73	85.13	85.32	6289008.0	0.6695	1.0	82.7660944434	83.1053792063	82.5237481842	82.7079313412	6289008.0	-	-0.0702740688577	
2016-07-21	85.02	85.37	84.88	85.26	5471094.0	0.0	1.0	82.4171158302	82.7564005931	82.281401925	82.649768239	5471094.0	+	0.282286520775	
2016-07-22	85.5	85.98	85.45	85.72	6165618.0	0.0	1.0	82.8824206478	83.3477254655	82.833951396	83.0956853559	6165618.0	+	0.257309941521	
2016-07-25	85.53	85.8	85.15	85.8	5604454.0	0.0	1.0	82.911502199	83.1732361589	82.543135885	83.1732361589	5604454.0	+	0.315678709176	
2016-07-26	85.68	86.08	85.17	85.27	5377632.0	0.0	1.0	83.0569099545	83.4446639692	82.5625235857	82.6594620894	5377632.0	-	-0.478524743237	
2016-07-27	85.24	85.3	84.32	84.46	7744552.0	0.0	1.0	82.6303805383	82.6885436405	81.7385463044	81.8742602096	7744552.0	-	-0.915063350519	
2016-07-28	84.42	84.9795	84.402	84.81	5911575.0	0.0	1.0	81.8354848081	82.3778557362	81.8180358774	82.2135449724	5911575.0	+	0.461975835038	
2016-07-29	84.89	85.79	84.8	85.59	7520867.0	0.0	1.0	82.2910957754	83.1635423085	82.2038511221	82.9696653012	7520867.0	+	0.824596536729	
2016-08-01	85.44	86.58	85.42	86.41	10419954.0	0.0	1.0	82.8242575456	83.9293564876	82.8048698449	83.7645610313	10419954.0	+	1.13529962545	
2016-08-02	87.02	87.15	86.24	86.76	13083211.0	0.0	1.0	84.3558859038	84.4819059586	83.5997655751	84.1038457942	13083211.0	-	-0.298781889254	
2016-08-03	86.51	86.72	85.46	85.97	8192099.0	0.0	1.0	83.861499535	84.0650703928	82.8436452464	83.3380316151	8192099.0	-	-0.624205294208	
2016-08-04	86.12	86.53	85.8	86.05	5564060.0	0.0	1.0	83.4834393707	83.8808872358	83.1732361589	83.4155824181	5564060.0	-	-0.0812819322149	
2016-08-05	86.08	86.44	85.53	85.78	6729690.0	0.0	1.0	83.4446639692	83.7936425825	82.911502199	83.1538484582	6729690.0	-	-0.348513011098	
2016-08-08	85.61	85.9	85.13	85.76	5388137.0	0.0	1.0	82.9890530019	83.2701746626	82.5237481842	83.1344607574	5388137.0	+	0.175213176004	
2016-08-09	85.86	86.341	85.68	85.99	4158784.0	0.0	1.0	83.2313992611	83.6976734638	83.0569099545	83.3574193159	4158784.0	+	0.151409270923	
2016-08-10	86.26	86.82	86.0	86.31	5981436.0	0.0	1.0	83.6191532758	84.1620088964	83.3671131663	83.6676225277	5981436.0	+	0.0579642940657	
2016-08-11	86.7	87.0	86.4	86.73	7387106.0	0.0	1.0	84.045682692	84.3364982031	83.754867181	84.0747642431	7387106.0	+	0.0346020761192	
2016-08-12	86.92	87.45	86.775	87.04	8063375.0	0.0	1.0	84.2589474001	84.7727214696	84.1183865698	84.3752736045	8063375.0	+	0.138057984332	
2016-08-15	87.52	87.57	86.99	87.02	6871164.0	0.0	1.0	84.8405784222	84.8890476741	84.3268043527	84.3558859038	6871164.0	-	-0.571297989021	
2016-08-16	86.98	87.4	86.47	86.58	8071056.0	0.0	1.0	84.3171105023	84.7242522178	83.8227241336	83.9293564876	8071056.0	-	-0.459875833493	
2016-08-17	86.45	87.11	85.97	86.96	6762059.0	0.0	1.0	83.8033364328	84.4431305571	83.3380316151	84.2977228016	6762059.0	+	0.589936379438	
2016-08-18	86.94	87.46	86.94	87.44	7082804.0	0.0	1.0	84.2783351009	84.78241532	84.2783351009	84.7630276193	7082804.0	+	0.575109270751	
2016-08-19	87.2	87.41	87.05	87.31	6199917.0	0.0	1.0	84.5303752104	84.7339460682	84.3849674549	84.6370075645	6199917.0	+	0.12614678905	
2016-08-22	87.14	87.21	86.5801	86.85	5921119.0	0.0	1.0	84.4722121082	84.5400690608	83.9294534261	84.1910904475	5921119.0	-	-0.332797796677	
2016-08-23	87.13	87.5	87.035	87.4	5420104.0	0.0	1.0	84.4625182579	84.8211907215	84.3704266794	84.7242522178	5420104.0	+	0.309881785789	
2016-08-24	87.32	87.45	86.56	87.31	5713285.0	0.0	1.0	84.6467014149	84.7727214696	83.9099687869	84.6370075645	5713285.0	-	-0.0114521301338	
2016-08-25	87.3	87.94	87.04	87.9	10594773.0	0.0	1.0	84.6273137141	85.2477201377	84.3752736045	85.2089447362	10594773.0	+	0.687285223379	
2016-08-26	87.87	88.5	87.166	87.58	16408187.0	0.0	1.0	85.1798631851	85.7905757583	84.4974161192	84.8987415244	16408187.0	-	-0.330033003327	
2016-08-29	87.39	88.4	87.32	88.3	8934447.0	0.0	1.0	84.7145583674	85.6936372546	84.6467014149	85.5966987509	8934447.0	+	1.04130907426	
2016-08-30	87.72	88.3	87.46	87.54	11618492.0	0.0	1.0	85.0344554296	85.5966987509	84.78241532	84.859966123	11618492.0	-	-0.205198358381	
2016-08-31	87.75	87.85	87.025	87.31	11407806.0	0.0	1.0	85.0635369807	85.1604754844	84.360732829	84.6370075645	11407806.0	-	-0.501424501425	
2016-09-01	87.36	88.31	86.98	88.31	29793308.0	0.0	1.0	84.6854768163	85.6063926013	84.3171105023	85.6063926013	29793308.0	+	1.08745421248	
2016-09-02	88.48	88.87	88.04	88.2	17467091.0	0.0	1.0	85.7711880576	86.1492482219	85.3446586414	85.4997602473	17467091.0	-	-0.316455696192	
2016-09-06	88.25	88.64	87.88	88.64	14472067.0	0.0	1.0	85.5482294991	85.9262896635	85.1895570355	85.9262896635	14472067.0	+	0.441926345657	
2016-09-07	88.31	88.41	87.71	87.95	17556418.0	0.0	1.0	85.6063926013	85.703331105	85.0247615792	85.257413988	17556418.0	-	-0.407654852279	
2016-09-08	87.95	88.18	87.63	87.78	23465734.0	0.0	1.0	85.257413988	85.4803725465	84.9472107763	85.0926185318	23465734.0	-	-0.19329164291	
2016-09-09	87.1	87.17	86.24	86.24	21954951.0	0.0	1.0	84.4334367068	84.5012936593	83.5997655751	83.5997655751	21954951.0	-	-0.987370838161	
