Date	Open	High	Low	Close	Volume	Ex-Dividend	Split Ratio	Adj. Open	Adj. High	Adj. Low	Adj. Close	Adj. Volume	+/-	% change	
2016-07-01	705.1	712.53	703.73	710.25	1549160.0	0.0	1.0	705.1	712.53	703.73	710.25	1549160.0	+	0.730392852078	
2016-07-05	705.01	708.12	699.13	704.89	1422028.0	0.0	1.0	705.01	708.12	699.13	704.89	1422028.0	-	-0.0170210351626	
2016-07-06	699.84	713.0	699.0	708.97	1445126.0	0.0	1.0	699.84	713.0	699.0	708.97	1445126.0	+	1.30458390489	
2016-07-07	710.11	710.17	700.67	707.26	1058698.0	0.0	1.0	710.11	710.17	700.67	707.26	1058698.0	-	-0.401346270296	
2016-07-08	710.56	717.9	708.11	717.78	1497323.0	0.0	1.0	710.56	717.9	708.11	717.78	1497323.0	+	1.01609997748	
2016-07-11	719.42	728.9289	718.865	727.2	1441113.0	0.0	1.0	719.42	728.9289	718.865	727.2	1441113.0	+	1.08142670485	
2016-07-12	731.92	735.6	727.5	732.51	1328680.0	0.0	1.0	731.92	735.6	727.5	732.51	1328680.0	+	0.0806099027216	
2016-07-13	735.52	735.52	729.02	729.48	1021827.0	0.0	1.0	735.52	735.52	729.02	729.48	1021827.0	-	-0.821187731129	
2016-07-14	733.94	736.14	730.59	735.8	1070351.0	0.0	1.0	733.94	736.14	730.59	735.8	1070351.0	+	0.25342671063	
2016-07-15	741.0	741.0	734.64	735.63	1617087.0	0.0	1.0	741.0	741.0	734.64	735.63	1617087.0	-	-0.724696356275	
2016-07-18	737.91	755.1369	736.51	753.2	1934900.0	0.0	1.0	737.91	755.1369	736.51	753.2	1934900.0	+	2.07206840943	
2016-07-19	749.87	756.59	748.489	753.41	1521795.0	0.0	1.0	749.87	756.59	748.489	753.41	1521795.0	+	0.472081827517	
2016-07-20	754.05	760.64	754.05	757.08	1125117.0	0.0	1.0	754.05	760.64	754.05	757.08	1125117.0	+	0.401830117366	
2016-07-21	757.0	758.15	751.52	754.41	953053.0	0.0	1.0	757.0	758.15	751.52	754.41	953053.0	-	-0.34214002642	
2016-07-22	757.32	759.45	752.655	759.28	1046024.0	0.0	1.0	757.32	759.45	752.655	759.28	1046024.0	+	0.258807373369	
2016-07-25	757.68	759.8249	754.07	757.52	1073310.0	0.0	1.0	757.68	759.8249	754.07	757.52	1073310.0	-	-0.0211170942878	
2016-07-26	757.52	759.26	752.7503	757.65	1189573.0	0.0	1.0	757.52	759.26	752.7503	757.65	1189573.0	+	0.017161263069	
2016-07-27	758.97	764.45	755.93	761.97	1608589.0	0.0	1.0	758.97	764.45	755.93	761.97	1608589.0	+	0.395272540417	
2016-07-28	768.84	768.97	759.09	765.84	3673221.0	0.0	1.0	768.84	768.97	759.09	765.84	3673221.0	-	-0.390198220696	
2016-07-29	797.71	803.94	790.0	791.34	5090527.0	0.0	1.0	797.71	803.94	790.0	791.34	5090527.0	-	-0.798535808753	
2016-08-01	786.67	807.49	785.04	800.94	3029658.0	0.0	1.0	786.67	807.49	785.04	800.94	3029658.0	+	1.81397536451	
2016-08-02	797.33	802.32	794.53	800.12	1996354.0	0.0	1.0	797.33	802.32	794.53	800.12	1996354.0	+	0.349917850827	
2016-08-03	796.47	799.54	793.02	798.92	1461025.0	0.0	1.0	796.47	799.54	793.02	798.92	1461025.0	+	0.307607317288	
2016-08-04	798.24	800.2	793.92	797.25	1076031.0	0.0	1.0	798.24	800.2	793.92	797.25	1076031.0	-	-0.124022850271	
2016-08-05	800.11	807.22	797.81	806.93	1807271.0	0.0	1.0	800.11	807.22	797.81	806.93	1807271.0	+	0.852382797365	
2016-08-08	806.0	807.6	801.69	805.23	1221609.0	0.0	1.0	806.0	807.6	801.69	805.23	1221609.0	-	-0.0955334987593	
2016-08-09	804.49	813.33	804.06	807.48	1607685.0	0.0	1.0	804.49	813.33	804.06	807.48	1607685.0	+	0.3716640356	
2016-08-10	807.05	810.879	806.49	808.49	918514.0	0.0	1.0	807.05	810.879	806.49	808.49	918514.0	+	0.178427606716	
2016-08-11	810.47	813.879	806.0	808.2	1282274.0	0.0	1.0	810.47	813.879	806.0	808.2	1282274.0	-	-0.280084395474	
