Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-01,84.52,84.99,84.51,84.78,9530706.0,0.0,1.0,81.929408748,82.3850029518,81.9197152543,82.1814395842,9530706.0
2016-07-05,84.48,85.95,84.45,85.44,11395171.0,0.0,1.0,81.8906347732,83.315578347,81.8615542921,82.8212101683,11395171.0
2016-07-06,85.37,85.5,84.74,85.03,8356546.0,0.0,1.0,82.7533557124,82.8793711305,82.1426656094,82.4237769266,8356546.0
2016-07-07,85.23,85.24,84.525,84.83,7905843.0,0.0,1.0,82.6176468006,82.6273402943,81.9342554948,82.2299070527,7905843.0
2016-07-08,84.98,85.9,84.77,85.77,6827349.0,0.0,1.0,82.3753094581,83.2671108785,82.1717460905,83.1410954604,6827349.0
2016-07-11,85.61,85.95,84.91,85.75,6156824.0,0.0,1.0,82.9859995612,83.315578347,82.3074550023,83.121708473,6156824.0
2016-07-12,85.49,85.94,85.19,85.75,6649502.0,0.0,1.0,82.8696776368,83.3058848533,82.5788728258,83.121708473,6649502.0
2016-07-13,85.81,86.15,85.41,85.89,7571473.0,0.0,1.0,83.1798694352,83.509448221,82.7921296872,83.2574173848,7571473.0
2016-07-14,86.44,86.89,85.85,85.87,11342573.0,0.0,1.0,83.7905595383,84.2267667547,83.21864341,83.2380303974,11342573.0
2016-07-15,86.25,86.48,85.79,86.01,8491347.0,0.0,1.0,83.606383158,83.8293335131,83.1604824478,83.3737393092,8491347.0
2016-07-18,86.02,86.05,85.7,85.93,4781778.0,0.0,1.0,83.3834328029,83.412513284,83.0732410045,83.2961913596,4781778.0
2016-07-19,85.67,86.18,85.56,86.17,6077431.0,0.0,1.0,83.0441605234,83.5385287021,82.9375320927,83.5288352084,6077431.0
2016-07-20,85.38,85.73,85.13,85.32,6289008.0,0.6695,1.0,83.4124849943,83.7544195193,83.1682460478,83.3538676471,6289008.0
2016-07-21,85.02,85.37,84.88,85.26,5471094.0,0.0,1.0,83.0607809114,83.4027154364,82.9240071013,83.2952503,5471094.0
2016-07-22,85.5,85.98,85.45,85.72,6165618.0,0.0,1.0,83.5297196886,83.9986584658,83.4808718993,83.7446499614,6165618.0
2016-07-25,85.53,85.8,85.15,85.8,5604454.0,0.0,1.0,83.5590283621,83.8228064243,83.1877851635,83.8228064243,5604454.0
2016-07-26,85.68,86.08,85.17,85.27,5377632.0,0.0,1.0,83.70557173,84.0963540443,83.2073242792,83.3050198578,5377632.0
2016-07-27,85.24,85.3,84.32,84.46,7744552.0,0.0,1.0,83.2757111842,83.3343285314,82.3769118613,82.5136856713,7744552.0
2016-07-28,84.42,84.9795,84.402,84.81,5911575.0,0.0,1.0,82.4746074399,83.021214202,82.4570222357,82.8556201963,5911575.0
2016-07-29,84.89,85.79,84.8,85.59,7520867.0,0.0,1.0,82.9337766592,83.8130368664,82.8458506385,83.6176457093,7520867.0
2016-08-01,85.44,86.58,85.42,86.41,10419954.0,0.0,1.0,83.4711023414,84.5848319373,83.4515632257,84.4187494537,10419954.0
2016-08-02,87.02,87.15,86.24,86.76,13083211.0,0.0,1.0,85.014692483,85.1416967352,84.2526669701,84.7606839787,13083211.0
2016-08-03,86.51,86.72,85.46,85.97,8192099.0,0.0,1.0,84.5164450322,84.7216057473,83.4906414571,83.9888889079,8192099.0
2016-08-04,86.12,86.53,85.8,86.05,5564060.0,0.0,1.0,84.1354322758,84.535984148,83.8228064243,84.0670453708,5564060.0
2016-08-05,86.08,86.44,85.53,85.78,6729690.0,0.0,1.0,84.0963540443,84.4480581272,83.5590283621,83.8032673086,6729690.0
2016-08-08,85.61,85.9,85.13,85.76,5388137.0,0.0,1.0,83.637184825,83.9205020029,83.1682460478,83.7837281929,5388137.0
2016-08-09,85.86,86.341,85.68,85.99,4158784.0,0.0,1.0,83.8814237715,84.3513395044,83.70557173,84.0084280236,4158784.0
