DATE	COMPANY	TWEET COUNT
2016-09-19	Morgan Chase	407
2016-09-21	Morgan Chase	511
2016-09-22	Morgan Chase	496
2016-09-23	Morgan Chase	383
2016-09-24	Morgan Chase	172
2016-09-25	Morgan Chase	112
2016-09-26	Morgan Chase	352
2016-09-27	Morgan Chase	598
2016-09-28	Morgan Chase	463
2016-09-29	Morgan Chase	464
2016-09-30	Morgan Chase	518
2016-10-01	Morgan Chase	295
2016-10-02	Morgan Chase	213
2016-10-03	Morgan Chase	390
2016-10-04	Morgan Chase	597
2016-10-05	Morgan Chase	708
2016-10-06	Morgan Chase	55
2016-10-06	Morgan Chase	595
2016-10-07	Morgan Chase	775
2016-10-08	Morgan Chase	429
2016-10-09	Morgan Chase	187
2016-10-10	Morgan Chase	715
2016-10-11	Morgan Chase	489
2016-10-12	Morgan Chase	630
2016-10-13	Morgan Chase	785
2016-10-14	Morgan Chase	2030
2016-10-15	Morgan Chase	422
2016-10-16	Morgan Chase	365
2016-10-17	Morgan Chase	767
2016-10-18	Morgan Chase	712
2016-10-19	Morgan Chase	603
2016-10-20	Morgan Chase	592
2016-10-21	Morgan Chase	360
2016-10-22	Morgan Chase	277
2016-10-23	Morgan Chase	354
2016-10-24	Morgan Chase	526
2016-10-25	Morgan Chase	468
2016-10-26	Morgan Chase	221
2016-10-27	Morgan Chase	280
2016-10-28	Morgan Chase	211
2016-10-29	Morgan Chase	158
2016-10-30	Morgan Chase	96
2016-10-31	Morgan Chase	330
2016-11-01	Morgan Chase	97
2016-11-02	Morgan Chase	249
2016-11-03	Morgan Chase	335
2016-11-04	Morgan Chase	281
2016-11-05	Morgan Chase	151
2016-11-06	Morgan Chase	103
2016-11-07	Morgan Chase	496
2016-11-08	Morgan Chase	402
2016-11-09	Morgan Chase	460
2016-11-17	Morgan Chase	775
2016-11-18	Morgan Chase	805
2016-11-19	Morgan Chase	351
2016-11-20	Morgan Chase	698
2016-11-21	Morgan Chase	672
2016-11-22	Morgan Chase	430
2016-11-23	Morgan Chase	246
2016-11-24	Morgan Chase	148
2016-11-25	Morgan Chase	173
2016-11-26	Morgan Chase	120
2016-11-27	Morgan Chase	64
2016-11-28	Morgan Chase	198
2016-11-29	Morgan Chase	69
