DATE	COMPANY	TWEET COUNT
2016-09-19	p&g	5926
2016-09-20	p&g	5429
2016-09-21	p&g	5771
2016-09-22	p&g	5795
2016-09-23	p&g	5813
2016-09-24	p&g	5543
2016-09-25	p&g	4367
2016-09-26	p&g	5868
2016-09-27	p&g	5699
2016-09-28	p&g	2640
2016-09-29	p&g	5539
2016-09-30	p&g	5458
2016-10-01	p&g	5420
2016-10-02	p&g	4600
2016-10-03	p&g	5698
2016-10-04	p&g	5675
2016-10-05	p&g	5659
2016-10-06	p&g	3606
2016-10-06	p&g	5996
2016-10-07	p&g	6852
2016-10-08	p&g	5464
2016-10-09	p&g	4399
2016-10-10	p&g	6130
2016-10-11	p&g	6594
2016-10-12	p&g	5892
2016-10-13	p&g	7093
2016-10-14	p&g	6469
2016-10-15	p&g	6230
2016-10-16	p&g	4391
2016-10-17	p&g	6375
2016-10-18	p&g	7750
2016-10-19	p&g	6993
2016-10-20	p&g	6709
2016-10-21	p&g	7031
2016-10-22	p&g	7285
2016-10-23	p&g	4840
2016-10-24	p&g	6649
2016-10-25	p&g	7040
2016-10-26	p&g	3911
2016-10-27	p&g	3258
2016-10-28	p&g	3665
2016-10-29	p&g	3683
2016-10-30	p&g	476
2016-10-31	p&g	3731
2016-11-01	p&g	3813
2016-11-02	p&g	3917
2016-11-03	p&g	3546
2016-11-04	p&g	3818
2016-11-05	p&g	3915
2016-11-06	p&g	3803
2016-11-07	p&g	3907
2016-11-08	p&g	3536
2016-11-09	p&g	3637
2016-11-10	p&g	3518
2016-11-17	p&g	3645
2016-11-18	p&g	3637
2016-11-19	p&g	4241
2016-11-20	p&g	3441
2016-11-21	p&g	3837
2016-11-22	p&g	3763
2016-11-23	p&g	3481
2016-11-24	p&g	3678
2016-11-25	p&g	3616
2016-11-26	p&g	3623
2016-11-27	p&g	3697
2016-11-28	p&g	3910
2016-11-29	p&g	3770
