DATE	COMPANY	TWEET COUNT
2016-09-19	Apple	3105
2016-09-20	Apple	4005
2016-09-21	Apple	4162
2016-09-22	Apple	3985
2016-09-23	Apple	4396
2016-09-24	Apple	3250
2016-09-25	Apple	3128
2016-09-26	Apple	4173
2016-09-27	Apple	4046
2016-09-28	Apple	4076
2016-09-29	Apple	3620
2016-09-30	Apple	3971
2016-10-01	Apple	3179
2016-10-02	Apple	1125
2016-10-03	Apple	3877
2016-10-04	Apple	3872
2016-10-05	Apple	4067
2016-10-06	Apple	3942
2016-10-07	Apple	4315
2016-10-08	Apple	3375
2016-10-09	Apple	1423
2016-10-10	Apple	4459
2016-10-11	Apple	5143
2016-10-12	Apple	4587
2016-10-13	Apple	4780
2016-10-14	Apple	4265
2016-10-15	Apple	3099
2016-10-16	Apple	3229
2016-10-17	Apple	4504
2016-10-18	Apple	4508
2016-10-19	Apple	4553
2016-10-20	Apple	3574
2016-10-21	Apple	4349
2016-10-22	Apple	3475
2016-10-23	Apple	3062
2016-10-24	Apple	4702
2016-10-25	Apple	4694
2016-10-26	Apple	2726
2016-10-27	Apple	2290
2016-10-28	Apple	3710
2016-10-29	Apple	1236
2016-10-30	Apple	1195
2016-10-31	Apple	1552
2016-11-01	Apple	1549
2016-11-02	Apple	920
2016-11-03	Apple	977
2016-11-04	Apple	1276
2016-11-05	Apple	561
2016-11-06	Apple	288
2016-11-07	Apple	1462
2016-11-08	Apple	1197
2016-11-09	Apple	1247
2016-11-17	Apple	1377
2016-11-18	Apple	1479
2016-11-19	Apple	777
2016-11-20	Apple	598
2016-11-21	Apple	1852
2016-11-22	Apple	1236
2016-11-23	Apple	1288
2016-11-24	Apple	599
2016-11-25	Apple	767
2016-11-26	Apple	412
2016-11-27	Apple	412
2016-11-28	Apple	1110
2016-11-29	Apple	1140
