DATE	COMPANY	TWEET COUNT
2016-09-19	Walmart	2303
2016-09-20	Walmart	2571
2016-09-21	Walmart	2544
2016-09-22	Walmart	2729
2016-09-23	Walmart	2439
2016-09-24	Walmart	2693
2016-09-25	Walmart	2514
2016-09-26	Walmart	2592
2016-09-27	Walmart	2679
2016-09-28	Walmart	2732
2016-09-29	Walmart	2609
2016-09-30	Walmart	2509
2016-10-01	Walmart	2367
2016-10-02	Walmart	2577
2016-10-03	Walmart	2539
2016-10-04	Walmart	2727
2016-10-05	Walmart	2653
2016-10-06	Walmart	2430
2016-10-06	Walmart	3302
2016-10-07	Walmart	2961
2016-10-08	Walmart	2730
2016-10-09	Walmart	2745
2016-10-10	Walmart	2623
2016-10-11	Walmart	2599
2016-10-12	Walmart	2648
2016-10-13	Walmart	2728
2016-10-14	Walmart	2679
2016-10-15	Walmart	2236
2016-10-16	Walmart	2599
2016-10-17	Walmart	2639
2016-10-18	Walmart	2646
2016-10-19	Walmart	2622
2016-10-20	Walmart	2574
2016-10-21	Walmart	2761
2016-10-22	Walmart	2753
2016-10-23	Walmart	2296
2016-10-24	Walmart	2706
2016-10-25	Walmart	2557
2016-10-26	Walmart	2659
2016-10-27	Walmart	2727
2016-10-28	Walmart	2705
2016-10-29	Walmart	2624
2016-10-30	Walmart	2591
2016-10-31	Walmart	2562
2016-11-01	Walmart	2489
2016-11-02	Walmart	2637
2016-11-03	Walmart	2661
2016-11-04	Walmart	2418
2016-11-05	Walmart	2565
2016-11-06	Walmart	2588
2016-11-07	Walmart	2356
2016-11-08	Walmart	2496
2016-11-09	Walmart	2588
2016-11-10	Walmart	2471
2016-11-17	Walmart	3324
2016-11-18	Walmart	2879
2016-11-19	Walmart	2641
2016-11-20	Walmart	2725
2016-11-21	Walmart	2713
2016-11-22	Walmart	2764
2016-11-23	Walmart	2626
2016-11-24	Walmart	2829
2016-11-25	Walmart	3022
2016-11-26	Walmart	2630
2016-11-27	Walmart	2627
2016-11-28	Walmart	2777
2016-11-29	Walmart	2522
