"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"
"2016-07-01"	"2016-06-28"	"61.52"	"62.0115"	"61.16"	"61.26"	"14214829.0"	"0.48"	"1.0"	"60.0745603962"	"60.5545123864"	"59.7230187554"	"59.8206692112"
"2016-07-05"	"2016-07-02"	"60.45"	"60.6"	"59.1"	"59.55"	"23356834.0"	"0.0"	"1.0"	"59.0297005194"	"59.176176203"	"57.7114193663"	"58.1508464173"
"2016-07-06"	"2016-07-03"	"59.01"	"60.29"	"58.76"	"60.19"	"20427988.0"	"0.0"	"1.0"	"57.6235339561"	"58.8734597901"	"57.3794078167"	"58.7758093343"
"2016-07-07"	"2016-07-04"	"60.52"	"61.14"	"60.16"	"60.58"	"13771417.0"	"0.0"	"1.0"	"59.0980558384"	"59.7034886643"	"58.7465141976"	"59.1566461119"
"2016-07-08"	"2016-07-05"	"61.33"	"62.17"	"61.33"	"61.83"	"16998814.0"	"0.0"	"1.0"	"59.8890245302"	"60.7092883588"	"59.8890245302"	"60.3772768091"
"2016-07-11"	"2016-07-08"	"62.42"	"62.95"	"62.14"	"62.27"	"13151218.0"	"0.0"	"1.0"	"60.9534144982"	"61.4709619139"	"60.6799932221"	"60.8069388146"
"2016-07-12"	"2016-07-09"	"63.03"	"63.56"	"62.89"	"63.2"	"16587469.0"	"0.0"	"1.0"	"61.5490822785"	"62.0666296941"	"61.4123716404"	"61.7150880533"
"2016-07-13"	"2016-07-10"	"63.08"	"63.43"	"62.64"	"63.16"	"18483123.0"	"0.0"	"1.0"	"61.5979075064"	"61.9396841016"	"61.168245501"	"61.676027871"
"2016-07-14"	"2016-07-11"	"64.74"	"64.98"	"64.05"	"64.12"	"28981089.0"	"0.0"	"1.0"	"63.2189050724"	"63.4532661662"	"62.5451169275"	"62.6134722465"
"2016-07-15"	"2016-07-12"	"64.75"	"64.8"	"63.61"	"64.18"	"17599853.0"	"0.0"	"1.0"	"63.2286701179"	"63.2774953458"	"62.115454922"	"62.67206252"
"2016-07-18"	"2016-07-15"	"64.13"	"64.4"	"63.9"	"63.96"	"10824064.0"	"0.0"	"1.0"	"62.6232372921"	"62.8868935227"	"62.3986412438"	"62.4572315173"
"2016-07-19"	"2016-07-16"	"63.61"	"64.1"	"63.46"	"63.86"	"9729926.0"	"0.0"	"1.0"	"62.115454922"	"62.5939421554"	"61.9689792384"	"62.3595810615"
"2016-07-20"	"2016-07-17"	"64.11"	"64.229"	"63.71"	"63.93"	"10404438.0"	"0.0"	"1.0"	"62.6037072009"	"62.7199112433"	"62.2131053778"	"62.4279363805"
"2016-07-21"	"2016-07-18"	"64.0"	"64.18"	"63.63"	"63.69"	"9952550.0"	"0.0"	"1.0"	"62.4962916996"	"62.67206252"	"62.1349850132"	"62.1935752867"
"2016-07-22"	"2016-07-19"	"63.9"	"64.09"	"63.6"	"64.04"	"8195688.0"	"0.0"	"1.0"	"62.3986412438"	"62.5841771098"	"62.1056898765"	"62.5353518819"
"2016-07-25"	"2016-07-22"	"63.98"	"64.17"	"63.675"	"63.87"	"8167253.0"	"0.0"	"1.0"	"62.4767616084"	"62.6622974744"	"62.1789277183"	"62.3693461071"
"2016-07-26"	"2016-07-23"	"63.98"	"64.26"	"63.71"	"64.13"	"8067291.0"	"0.0"	"1.0"	"62.4767616084"	"62.7501828846"	"62.2131053778"	"62.6232372921"
"2016-07-27"	"2016-07-24"	"64.08"	"64.685"	"64.06"	"64.33"	"11798111.0"	"0.0"	"1.0"	"62.5744120642"	"63.1651973217"	"62.554881973"	"62.8185382037"
"2016-07-28"	"2016-07-25"	"64.0"	"64.19"	"63.72"	"64.1"	"10013424.0"	"0.0"	"1.0"	"62.4962916996"	"62.6818275656"	"62.2228704234"	"62.5939421554"
