"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"	"Adj. Volume"	"+/-"	"% change"
"2016-07-01"	"2016-06-29"	"129.54"	"130.34"	"129.16"	"129.69"	"3247885.0"	"0.0"	"1.0"	"125.43580085744"	"126.21045456044"	"125.06784034852"	"125.58104842676"	"3247885.0"	"+"	"0.115794349243"
"2016-07-05"	"2016-07-03"	"128.43"	"129.0"	"126.63"	"126.97"	"4828971.0"	"0.0"	"1.0"	"124.36096884454"	"124.91290960792"	"122.6179980128"	"122.94722583657"	"4828971.0"	"-"	"-1.13680604221"
"2016-07-06"	"2016-07-04"	"127.25"	"127.31"	"123.96"	"126.96"	"3981574.0"	"0.0"	"1.0"	"123.21835463262"	"123.27645366035"	"120.03259127905"	"122.93754266529"	"3981574.0"	"-"	"-0.227897838895"
"2016-07-07"	"2016-07-05"	"126.92"	"128.17"	"126.26"	"127.17"	"3050067.0"	"0.0"	"1.0"	"122.89880998014"	"124.10920639107"	"122.25972067516"	"123.14088926232"	"3050067.0"	"+"	"0.196974472104"
"2016-07-08"	"2016-07-06"	"128.6"	"130.46"	"127.66"	"130.09"	"3597822.0"	"0.0"	"1.0"	"124.52558275642"	"126.32665261589"	"123.61536465541"	"125.96837527825"	"3597822.0"	"+"	"1.15863141524"
"2016-07-11"	"2016-07-09"	"130.84"	"133.25"	"130.8"	"132.04"	"3929575.0"	"0.0"	"1.0"	"126.69461312481"	"129.02825740508"	"126.65588043966"	"127.8565936793"	"3929575.0"	"+"	"0.917150718433"
"2016-07-12"	"2016-07-10"	"132.8"	"133.0"	"130.33"	"130.81"	"4317968.0"	"0.0"	"1.0"	"128.59251469715"	"128.7861781229"	"126.20077138915"	"126.66556361095"	"4317968.0"	"-"	"-1.4984939759"
"2016-07-13"	"2016-07-11"	"131.28"	"131.39"	"129.37"	"130.11"	"3061397.0"	"0.0"	"1.0"	"127.12067266146"	"127.22718754562"	"125.27118694556"	"125.98774162083"	"3061397.0"	"-"	"-0.891224862888"
"2016-07-14"	"2016-07-12"	"131.63"	"131.9175"	"130.2"	"131.55"	"3979813.0"	"0.0"	"1.0"	"127.45958365652"	"127.73797483103"	"126.07489016241"	"127.38211828622"	"3979813.0"	"-"	"-0.0607764187499"
"2016-07-15"	"2016-07-13"	"131.8"	"132.75"	"131.45"	"132.39"	"2940790.0"	"0.0"	"1.0"	"127.6241975684"	"128.54409884071"	"127.28528657334"	"128.19550467436"	"2940790.0"	"+"	"0.447647951443"
"2016-07-18"	"2016-07-16"	"132.38"	"133.89"	"131.95"	"133.43"	"3338398.0"	"0.0"	"1.0"	"128.18582150308"	"129.64798036748"	"127.76944513772"	"129.20255448826"	"3338398.0"	"+"	"0.793171173893"
"2016-07-19"	"2016-07-17"	"132.91"	"135.67"	"132.831"	"134.66"	"3390031.0"	"0.0"	"1.0"	"128.69902958131"	"131.37158485664"	"128.62253252814"	"130.39358455661"	"3390031.0"	"+"	"1.31668046046"
"2016-07-20"	"2016-07-18"	"134.55"	"135.18"	"134.04"	"134.72"	"2669691.0"	"0.0"	"1.0"	"130.28706967245"	"130.89710946356"	"129.79322793679"	"130.45168358434"	"2669691.0"	"+"	"0.126347082872"
"2016-07-21"	"2016-07-19"	"134.76"	"134.98"	"133.03"	"133.53"	"2853331.0"	"0.0"	"1.0"	"130.49041626949"	"130.70344603781"	"128.81522763676"	"129.29938620113"	"2853331.0"	"-"	"-0.912733748891"
"2016-07-22"	"2016-07-20"	"131.75"	"133.49"	"130.57"	"133.47"	"4844935.0"	"0.0"	"1.0"	"127.57578171197"	"129.26065351598"	"126.43316750005"	"129.24128717341"	"4844935.0"	"+"	"1.3055028463"
"2016-07-25"	"2016-07-23"	"133.18"	"133.3016"	"132.38"	"132.94"	"3078497.0"	"0.0"	"1.0"	"128.96047520607"	"129.07822256893"	"128.18582150308"	"128.72807909517"	"3078497.0"	"-"	"-0.180207238325"
"2016-07-26"	"2016-07-24"	"132.9"	"134.97"	"132.51"	"134.85"	"4666760.0"	"0.0"	"1.0"	"128.68934641002"	"130.69376286652"	"128.31170272981"	"130.57756481107"	"4666760.0"	"+"	"1.46726862302"
"2016-07-27"	"2016-07-25"	"136.14"	"139.45"	"135.71"	"135.96"	"5657810.0"	"0.0"	"1.0"	"131.82669390715"	"135.03182360329"	"131.41031754179"	"131.65239682398"	"5657810.0"	"-"	"-0.132216835607"
"2016-07-28"	"2016-07-26"	"135.4"	"135.86"	"132.55"	"133.01"	"5142388.0"	"0.0"	"1.0"	"131.11013923188"	"131.5555651111"	"128.35043541496"	"128.79586129418"	"5142388.0"	"-"	"-1.76514032497"
