"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"	"+/-"	"% change"
"2016-10-07"	"2016-10-10"	"133.929993"	"134.660004"	"132.539993"	"133.850006"	"4293300"	"133.850006"	"-"	"-0.0597229927429"
"2016-10-06"	"2016-10-09"	"134.830002"	"135.00"	"133.679993"	"134.419998"	"3607400"	"134.419998"	"-"	"-0.304089589793"
"2016-10-05"	"2016-10-08"	"132.929993"	"134.899994"	"132.550003"	"134.660004"	"3137500"	"134.660004"	"+"	"1.30144519003"
"2016-10-04"	"2016-10-07"	"132.770004"	"133.229996"	"131.690002"	"132.25"	"2829200"	"132.25"	"-"	"-0.391657742211"
"2016-10-03"	"2016-10-06"	"131.279999"	"132.720001"	"130.740005"	"132.380005"	"2439400"	"132.380005"	"+"	"0.837908294012"
"2016-09-30"	"2016-10-03"	"132.089996"	"132.630005"	"131.270004"	"131.740005"	"3118900"	"131.740005"	"-"	"-0.264964047694"
"2016-09-29"	"2016-10-02"	"131.800003"	"132.779999"	"130.679993"	"131.029999"	"2199400"	"131.029999"	"-"	"-0.584221534502"
"2016-09-28"	"2016-10-01"	"131.589996"	"132.360001"	"130.589996"	"132.229996"	"1773000"	"132.229996"	"+"	"0.486359160616"
"2016-09-27"	"2016-09-30"	"130.289993"	"131.740005"	"129.860001"	"131.320007"	"1939000"	"131.320007"	"+"	"0.79055495843"
"2016-09-26"	"2016-09-29"	"131.070007"	"131.580002"	"130.429993"	"130.570007"	"2219900"	"130.570007"	"-"	"-0.381475527044"
"2016-09-23"	"2016-09-26"	"131.25"	"132.289993"	"131.009995"	"131.779999"	"2330700"	"131.779999"	"+"	"0.403808761905"
"2016-09-22"	"2016-09-25"	"131.449997"	"132.479996"	"131.169998"	"131.869995"	"3253100"	"131.869995"	"+"	"0.319511608661"
"2016-09-21"	"2016-09-24"	"128.179993"	"130.630005"	"128.179993"	"130.559998"	"3227800"	"130.559998"	"+"	"1.85676792789"
"2016-09-20"	"2016-09-23"	"127.949997"	"128.50"	"127.57"	"127.790001"	"2639300"	"127.790001"	"-"	"-0.125045723917"
"2016-09-19"	"2016-09-22"	"127.50"	"128.300003"	"127.269997"	"127.480003"	"3168100"	"127.480003"	"-"	"-0.0156839215686"
"2016-09-16"	"2016-09-19"	"127.709999"	"127.709999"	"126.339996"	"126.699997"	"8035600"	"126.699997"	"-"	"-0.790855851467"
"2016-09-15"	"2016-09-18"	"127.57"	"128.460007"	"126.940002"	"127.769997"	"3462400"	"127.769997"	"+"	"0.156774319981"
"2016-09-14"	"2016-09-17"	"128.910004"	"129.309998"	"127.339996"	"127.669998"	"3955400"	"127.669998"	"-"	"-0.961916035624"
"2016-09-13"	"2016-09-16"	"129.220001"	"130.020004"	"128.259995"	"128.759995"	"4552400"	"128.759995"	"-"	"-0.355986686612"
"2016-09-12"	"2016-09-15"	"126.879997"	"130.679993"	"126.309998"	"130.119995"	"6381100"	"130.119995"	"+"	"2.55359243112"
"2016-09-09"	"2016-09-12"	"131.940002"	"131.940002"	"128.520004"	"128.529999"	"4892900"	"128.529999"	"-"	"-2.58451034433"
"2016-09-08"	"2016-09-11"	"132.320007"	"132.910004"	"131.509995"	"132.899994"	"2618300"	"132.899994"	"+"	"0.438321470161"
"2016-09-07"	"2016-09-10"	"132.479996"	"133.080002"	"132.00"	"132.639999"	"2198700"	"132.639999"	"+"	"0.120775214999"
