"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"	"Adj. Volume"	"+/-"	"% change"
"2016-07-01"	"2016-06-29"	"61.52"	"62.0115"	"61.16"	"61.26"	"14214829.0"	"0.48"	"1.0"	"60.3984124738277"	"60.88095180625432"	"60.0449757298326"	"60.14315260316457"	"14214829.0"	"-"	"-0.422626788036"
"2016-07-05"	"2016-07-03"	"60.45"	"60.6"	"59.1"	"59.55"	"23356834.0"	"0.0"	"1.0"	"59.347919929175625"	"59.49518523917357"	"58.022532139194034"	"58.46432806918789"	"23356834.0"	"-"	"-1.4888337469"
"2016-07-06"	"2016-07-04"	"59.01"	"60.29"	"58.76"	"60.19"	"20427988.0"	"0.0"	"1.0"	"57.93417295319526"	"59.190836931844466"	"57.68873076986533"	"59.09266005851249"	"20427988.0"	"+"	"1.99966107439"
"2016-07-07"	"2016-07-05"	"60.52"	"61.14"	"60.16"	"60.58"	"13771417.0"	"0.0"	"1.0"	"59.416643740508"	"60.02534035516621"	"59.0632069965129"	"59.47554986450718"	"13771417.0"	"+"	"0.0991407799075"
"2016-07-08"	"2016-07-06"	"61.33"	"62.17"	"61.33"	"61.83"	"16998814.0"	"0.0"	"1.0"	"60.21187641449695"	"61.0365621504855"	"60.21187641449695"	"60.7027607811568"	"16998814.0"	"+"	"0.815261699005"
"2016-07-11"	"2016-07-09"	"62.42"	"62.95"	"62.14"	"62.27"	"13151218.0"	"0.0"	"1.0"	"61.28200433381542"	"61.80234176247486"	"61.007109088485905"	"61.13473902381747"	"13151218.0"	"-"	"-0.24030759372"
"2016-07-12"	"2016-07-10"	"63.03"	"63.56"	"62.89"	"63.2"	"16587469.0"	"0.0"	"1.0"	"61.88088326114044"	"62.40122068979988"	"61.74343563847568"	"62.04778394580479"	"16587469.0"	"+"	"0.269712835158"
"2016-07-13"	"2016-07-11"	"63.08"	"63.43"	"62.64"	"63.16"	"18483123.0"	"0.0"	"1.0"	"61.929971697806415"	"62.273590754468316"	"61.49799345514575"	"62.008513196471995"	"18483123.0"	"+"	"0.126823081801"
"2016-07-14"	"2016-07-12"	"64.74"	"64.98"	"64.05"	"64.12"	"28981089.0"	"0.0"	"1.0"	"63.55970779511711"	"63.795332291113844"	"62.88228736912652"	"62.951011180458906"	"28981089.0"	"-"	"-0.957676861291"
"2016-07-15"	"2016-07-13"	"64.75"	"64.8"	"63.61"	"64.18"	"17599853.0"	"0.0"	"1.0"	"63.56952548245031"	"63.61861391911629"	"62.45030912646586"	"63.00991730445809"	"17599853.0"	"-"	"-0.880308880309"
"2016-07-18"	"2016-07-16"	"64.13"	"64.4"	"63.9"	"63.96"	"10824064.0"	"0.0"	"1.0"	"62.960828867792095"	"63.22590642578842"	"62.73502205912857"	"62.793928183127754"	"10824064.0"	"-"	"-0.26508654296"
"2016-07-19"	"2016-07-17"	"63.61"	"64.1"	"63.46"	"63.86"	"9729926.0"	"0.0"	"1.0"	"62.45030912646586"	"62.931375805792506"	"62.303043816467905"	"62.69575130979578"	"9729926.0"	"+"	"0.393019965414"
"2016-07-20"	"2016-07-18"	"64.11"	"64.229"	"63.71"	"63.93"	"10404438.0"	"0.0"	"1.0"	"62.94119349312571"	"63.05802397239075"	"62.548485999797826"	"62.764475121128164"	"10404438.0"	"-"	"-0.280767430978"
"2016-07-21"	"2016-07-19"	"64.0"	"64.18"	"63.63"	"63.69"	"9952550.0"	"0.0"	"1.0"	"62.83319893246054"	"63.00991730445809"	"62.469944501132254"	"62.52885062513143"	"9952550.0"	"-"	"-0.484375"
