Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-08-12	63.139999	63.450001	62.93	63.349998	6219400	63.349998	+	0.332592656519	
2016-08-11	62.610001	63.73	62.48	63.630001	10365000	63.630001	+	1.62913270038	
2016-08-10	62.09	63.099998	62.07	62.639999	8835400	62.639999	+	0.885809309067	
2016-08-09	62.860001	63.139999	62.43	62.490002	12234400	62.490002	-	-0.588608008454	
2016-08-08	62.66	63.02	61.950001	62.860001	25045900	62.860001	+	0.319184487711	
2016-08-05	57.84	64.00	57.84	63.860001	72876000	63.860001	+	10.4080238589	
2016-08-04	57.740002	58.23	57.740002	57.84	5541400	57.84	+	0.173186692997	
2016-08-03	58.169998	58.299999	57.18	57.650002	9637300	57.650002	-	-0.89392473419	
2016-08-02	58.68	58.73	58.25	58.330002	6826300	58.330002	-	-0.59645194274	
2016-08-01	58.830002	59.00	58.50	58.66	8871200	58.66	-	-0.288971603299	
