2017-01-09 12:02:09.118598,top3000
2017-01-09 12:03:29.712936,top3000
Intel,0.6136363636363638
Merck,0.5113636363636362
Walmart,0.5977011494252874
JPMorganChase,0.5909090909090908
Procter&Gamble,0.4545454545454546
Boeing,0.40909090909090906
Apple,0.6250000000000002
Google,0.6363636363636365
2017-01-09 12:40:10.016168,took
2017-01-09 12:42:31.328513,took
Intel,0.6136363636363635
Merck,0.5340909090909092
Walmart,0.5402298850574712
JPMorganChase,0.5795454545454546
Procter&Gamble,0.46590909090909094
Boeing,0.38636363636363635
Apple,0.625
Google,0.625
2017-01-09 16:12:08.791167,0
2017-01-09 16:22:34.758242,using
2017-01-09 16:24:19.077932,using
Intel,0.5106382978723405
Merck,0.5869565217391306
Walmart,0.608695652173913
JPMorganChase,0.48888888888888893
Procter&Gamble,0.608695652173913
Boeing,0.4130434782608696
Apple,0.5217391304347826
Google,0.28888888888888886
2017-01-24 14:22:02.147530,0
2017-01-24 14:32:01.537437,0
Merck,0.5263157894736842
JPMorganChase,0.6494845360824741
Google,0.5670103092783504
2017-01-28 16:44:49.105972,0
2017-01-28 16:45:18.355861,0
2017-01-30 18:06:59.906538,0
2017-01-30 18:07:22.680098,0
2017-01-30 18:07:46.763579,0
Intel,0.4757281553398057
Merck,0.5365853658536586
Walmart,0.4411764705882353
JPMorganChase,0.5145631067961164
Procter&Gamble,0.5666666666666668
Boeing,0.4271844660194174
Apple,0.5096153846153846
Google,0.5576923076923078
2017-01-31 23:56:48.443813,0
Intel,0.5
Merck,0.5903614457831327
Walmart,0.4951456310679611
JPMorganChase,0.576923076923077
Procter&Gamble,0.6195652173913043
Boeing,0.4807692307692307
Apple,0.5333333333333332
Google,0.49523809523809526
2017-02-01 17:19:58.265708,0
2017-02-01 17:20:32.418561,0
2017-02-01 17:27:48.699806,0
2017-02-01 17:28:03.181246,0
2017-02-01 17:29:48.534219,0
2017-02-01 17:32:53.062006,0
2017-02-01 17:33:33.965380,0
2017-02-01 17:34:05.958485,0
2017-02-01 17:34:49.645286,0
2017-02-01 17:35:05.317608,0
2017-02-01 17:37:38.774680,0
2017-02-01 17:38:09.243877,0
2017-02-01 17:40:02.623225,0
2017-02-01 17:40:32.678045,0
2017-02-01 17:40:50.591145,0
2017-02-01 17:41:10.173459,0
2017-02-01 17:44:13.873870,0
2017-02-01 17:44:36.059189,0
2017-02-01 17:44:54.623000,0
2017-02-01 17:47:27.303574,0
2017-02-01 17:47:48.322241,0
2017-02-01 17:48:35.671991,0
Intel,0.48076923076923084
Merck,0.6024096385542169
Walmart,0.6019417475728155
