2-faced,farced_facet_fazed_faces_face_
angry,enraged_resentful_offended_irritable_impassioned_
anguish,heartache_agony_sorrow_grief_suffering_
animosity,antagonism_enmity_hostility_bitterness_resentment_
annihilate,wipe out_exterminate_liquidate_obliterate_decimate_
annihilation,liquidation_eradication_extermination_elimination_extinction_
annoy,disturb_turn off_exasperate_perturb_peeve_
annoyance,discontent_displeasure_exasperation_pique_frustration_
annoyances,discontent_displeasure_exasperation_pique_frustration_
annoyed,miffed_bothered_sore_irked_
annoying,disturbing_troublesome_irritating_bothersome_vexatious_
annoyingly,offensively_indecently_unwelcomely_
annoys,disturb_turn off_exasperate_perturb_peeve_
anomalous,atypical_unnatural_incongruous_abnormal_peculiar_
anomaly,deviation_abnormality_oddity_aberration_rarity_
antagonism,discord_enmity_hostility_disagreement_resistance_
antagonist,foe_adversary_enemy_opposer_competitor_
antagonistic,inimical_unfriendly_combative_hostile_
antagonize,anger_offend_annoy_irritate_alienate_
anti-,ant_ante_inti_antic_antis_

anti-israeli,anti social_anti-social_anti serum_anti-serum_aunt sally_


anti-semites,fanatic_chauvinist_sectarian_diehard_doctrinaire_
anti-social,alienated_standoffish_introverted_ascetic_austere_
anti-us,ants_antiques_antics_animus_antsy_
anti-white,anti hero_anti-hero_antiquate_antiquity_ante date_
antipathy,distaste_antagonism_enmity_hostility_rancor_
antiquated,ancient_archaic_outmoded_out-of-date_old-fashioned_
antithetical,contradictory_contrary_converse_counter_inverse_
anxieties,nervousness_restlessness_apprehension_suffering_uncertainty_
anxiety,nervousness_restlessness_apprehension_suffering_uncertainty_
anxious,afraid_restless_fidgety_fearful_nervous_
anxiously,warily_delicately_thoroughly_laboriously_gingerly_
anxiousness,nervousness_disquietude_distress_apprehension_disquiet_
apathetic,uninterested_callous_passive_stoic_laid-back_
apathetically,hypothetically_apathetic_hypo thetically_hypo-thetically_
apathy,lethargy_indifference_passiveness_dullness_coolness_
apocalypse,annihilation_devastation_cataclysm_catastrophe_holocaust_
apocalyptic,prophetic_ominous_oracular_predictive_revealing_
apologist,pleader_polemicist_sophist_
apologists,apologist_pleader_polemicist_sophist_
appal,alarm_amaze_astound_awe_daunt_
appall,dismay_dishearten_intimidate_frighten_alarm_
appalled,alarm_amaze_astound_awe_daunt_
appalling,dreadful_horrific_alarming_harrowing_astounding_
appallingly,hopelessly_fearfully_shockingly_
apprehension,foreboding_alarm_disquiet_mistrust_misgiving_
apprehensions,foreboding_alarm_disquiet_mistrust_misgiving_
apprehensive,jumpy_afraid_uncertain_concerned_suspicious_
apprehensively,passionately_eagerly_frantically_furiously_madly_
arbitrary,irrational_irresponsible_random_unreasonable_erratic_
arcane,esoteric_impenetrable_cabalistic_mysterious_mystic_
archaic,primitive_ancient_old-fashioned_obsolete_antiquated_
arduous,uphill_onerous_trying_tough_grueling_
arduously,difficultly_heavily_laboriously_burdensomely_exhaustingly_
argumentative,opinionated_belligerent_combative_contentious_contrary_
arrogance,chutzpah_pretension_disdain_hubris_aloofness_
arrogant,haughty_presumptuous_imperious_pretentious_aloof_
arrogantly,haughtily_insolently_loftily_superciliously_with one's nose in the air_
ashamed,bashful_hesitant_distressed_apologetic_humble_
asinine,absurd_daft_foolish_half-witted_idiotic_
asininely,asininity_inanely_insanely_in sanely_in-sanely_
asinininity,assonant_earsing into_is imminent_earsing in to_ascendant_
askance,suspiciously_skeptically_askew_dubiously_obliquely_
asperse,vilify_slur_smear_blacken_malign_
aspersion,obloquy_animadversion_hit_knock_defamation_
aspersions,obloquy_animadversion_hit_knock_defamation_
assail,impugn_blast_revile_trash_berate_
assassin,soldier_guerrilla_executioner_clipper_killer_
assassinate,kill_execute_slaughter_slay_liquidate_
assault,violation_onslaught_offensive_charge_rape_
assult,assaulter_adult_auscult_assist_asset_
astray,afield_awry_adrift_amiss_gone_
asunder,disconnected_divided_loose_separated_split_
atrocious,scandalous_rotten_heinous_lousy_barbaric_
atrocities,horror_barbarity_atrociousness_enormity_wickedness_
atrocity,horror_barbarity_atrociousness_enormity_wickedness_
atrophy,degeneration_decline_downfall_downgrade_deterioration_
attack,raid_intrusion_violation_onslaught_offensive_
attacks,raid_intrusion_violation_onslaught_offensive_
audacious,foolhardy_bold_resolute_adventurous_courageous_
audaciously,valiantly_boldly_gamely_heroically_gallantly_
audaciousness,temerity_spunk_grit_daredeviltry_adventurousness_
audacity,guts_courage_boldness_fearlessness_nerve_
audiciously,judiciously_
austere,stringent_somber_forbidding_rigid_exacting_
authoritarian,dictatorial_imperious_totalitarian_strict_rigid_
autocrat,fascist_tyrant_despot_totalitarian_overlord_
autocratic,domineering_imperious_arbitrary_dictatorial_tyrannical_
avalanche,flood_barrage_landslide_torrent_deluge_
avarice,frugality_parsimony_rapacity_penuriousness_avidity_
