2-faced,farced_facet_fazed_faces_face_
discombobulate,confound_befuddle_disconcert_fluster_bewilder_
discomfit,vex_disconcert_perplex_demoralize_prevent_
discomfititure,discomforted_dis comforted_dis-comforted_
discomfort,annoyance_hardship_soreness_disquiet_embarrassment_
discompose,pester_unsettle_displease_rattle_confuse_
disconcert,discomfit_disturb_unsettle_perplex_bewilder_
disconcerted,thrown_perturbed_bewildered_unsettled_distracted_
disconcerting,discomfit_disturb_unsettle_perplex_bewilder_
disconcertingly,dis concerting_dis-concerting_
disconsolate,inconsolable_bad_black_blue_cheerless_
disconsolately,desperately_sadly_dispiritedly_cynically_darkly_
disconsolation,distress_dreariness_downheartedness_dole_mortification_
discontent,restlessness_uneasiness_regret_displeasure_unhappiness_
discontented,blue_perturbed_displeased_complaining_upset_
discontentedly,dis contented_dis-contented_dis_
discontinued,discarded_interrupted_canceled_terminated_given up_
discontinuity,interruption_pause_halt_ending_stoppage_
discontinuous,alternate_desultory_disconnected_disjointed_disordered_
discord,tumult_dissonance_disharmony_harshness_jangle_
discordance,dissonance_contention_clash_discord_dissent_
discordant,cacophonous_clashing_jarring_dissonant_strident_
discountenance,discourage_deprecate_disapprove_disesteem_resist_
discourage,depress_dampen_dismay_intimidate_frighten_
discouragement,pessimism_hopelessness_dismay_melancholy_dejection_
discouraging,disappointing_dreary_depressing_gloomy_dismal_
discouragingly,decidedly_badly_intensely_mightily_desperately_
discourteous,abrupt_boorish_brusque_cavalier_cheeky_
discourteously,harshly_crudely_imprudently_loudly_roughly_
discoutinous,dis continuous_dis-continuous_discountings_discourteous_dis continues_
discredit,vilify_disgrace_smear_ruin_defame_
discrepant,conflicting_contradictory_contrary_different_discordant_
discriminate,segregate_incline_separate_favor_judge_
discrimination,intolerance_inequity_favoritism_bigotry_prejudice_
discriminatory,prejudiced_biased_inequitable_unfair_
disdain,ridicule_arrogance_derision_aversion_antipathy_
disdained,despise_spurn_deride_belittle_pooh-pooh_
disdainful,derisive_haughty_unsympathetic_arrogant_averse_
disdainfully,suspiciously_skeptically_askew_dubiously_obliquely_
disfavor,distaste_disinclination_dishonor_discredit_disapproval_
disgrace,ignominy_humiliation_dishonor_degradation_disrespect_
disgraced,humiliated_shamed_degraded_discharged_abject_
disgraceful,shocking_ignominious_degrading_contemptible_scandalous_
disgracefully,wickedly_dreadfully_clumsily_inadequately_incompletely_
disgruntle,annoy_dissatisfy_discontent_displease_irritate_
disgruntled,testy_annoyed_irritated_discontent_displeased_
disgust,distaste_antipathy_hatred_loathing_dislike_
disgusted,queasy_tired_unhappy_weary_displeased_
disgustedly,dis gusted_dis-gusted_disjointedly_dis jointedly_dis-jointedly_
disgustful,dis tasteful_dis-tasteful_discursively_disquisitive_dis cursively_
disgustfully,disgust_dis tasteful_dis-tasteful_discursively_dis cursively_
disgusting,distasteful_vile_horrific_scandalous_objectionable_
disgustingly,dis gusting_dis-gusting_disquisitional_discoursed on_
dishearten,dismay_discourage_dispirit_humble_deter_
disheartening,dismay_discourage_dispirit_humble_deter_
dishearteningly,dis heartening_dis-heartening_
dishonest,deceptive_unscrupulous_deceitful_sneaky_crooked_
dishonestly,treacherously_unscrupulously_maliciously_basely_crookedly_
dishonesty,infidelity_falsehood_fraud_trickery_duplicity_
dishonor,reproach_opprobrium_disgrace_obloquy_odium_
dishonorable,base_contemptible_crooked_deceitful_despicable_
dishonorablely,dishonorably_dis honorable_dis honorably_dis-honorable_dis-honorably_
disillusion,disappoint_embitter_disabuse_bring down to earth_burst the bubble_
disillusioned,disenchanted_embittered_knowing_sophisticated_broken_
disillusionment,blow_discontent_regret_chagrin_setback_
disillusions,disappoint_embitter_disabuse_bring down to earth_burst the bubble_
disinclination,opposition_distaste_displeasure_repugnance_objection_
disinclined,slow_hesitating_indisposed_shy_opposed_
disingenuous,dishonest_unfair_deceitful_artful_crooked_
disingenuously,dis ingenuous_dis-ingenuous_disingenuou_doing on sly_discerningly_
disintegrate,break up_sink_decompose_disband_decay_
disintegrated,break up_sink_decompose_disband_decay_
disintegrates,break up_sink_decompose_disband_decay_
disintegration,dissolution_putrefaction_demoralization_fragmentation_decentralization_
disinterest,lethargy_inattention_indifference_listlessness_unconcern_
disinterested,impartial_dispassionate_unbiased_neutral_aloof_
dislike,distaste_displeasure_enmity_hostility_antipathy_
disliked,despise_regret_avoid_disapprove_resent_
dislikes,distaste_displeasure_enmity_hostility_antipathy_
disliking,despise_regret_avoid_disapprove_resent_
dislocated,disengage_disturb_disconnect_divide_separate_
disloyal,disaffected_untrustworthy_alienated_apostate_cheating_
disloyalty,infidelity_treason_treachery_sedition_double-dealing_
dismal,dim_horrid_murky_discouraging_sad_
dismally,desperately_sadly_dispiritedly_cynically_darkly_
dismalness,dismals_timeliness_dismal_seemliness_disciplines_
dismay,anxiety_consternation_fright_chagrin_apprehension_
dismayed,dispirit_rattle_frighten_puzzle_unnerve_
dismaying,dispirit_rattle_frighten_puzzle_unnerve_
dismayingly,dis maying_dis-maying_
dismissive,cocky_bloated_boastful_cavalier_conceited_
dismissively,dis missive_dis-missive_discursively_dis cursively_dis-cursively_
disobedience,revolution_violation_infraction_recalcitrance_unruliness_
disobedient,contrary_contumacious_disorderly_fractious_froward_
disobey,contravene_violate_defy_infringe_evade_
disoobedient,dis obedient_dis-obedient_disobedience_dis obedience_dis-obedience_
disorder,huddle_mess_confusion_disarray_discombobulation_
disordered,moved_confused_tousled_roiled_muddled_
disorderly,chaotic_undisciplined_disorganized_jumbled_confused_
disorganized,chaotic_haphazard_confused_muddled_disordered_
disorient,dumbfound_bewilder_puzzle_muddle_distract_
disoriented,unhinged_bewildered_perplexed_lost_unsettled_
disown,renounce_repudiate_disavow_disclaim_retract_
disparage,malign_dismiss_decry_ridicule_defame_
disparaging,snide_unfavorable_derogatory_defamatory_pejorative_
disparagingly,adversely_critically_conflictingly_contrarily_opposingly_
dispensable,excessive_expendable_minor_needless_nonessential_
dispirit,deject_discourage_dishearten_demoralize_sadden_
dispirited,crestfallen_depressed_glum_despondent_down_
dispiritedly,desperately_sadly_cynically_darkly_dejectedly_
dispiriting,dismal_discouraging_demoralizing_cheerless_gloomy_
displace,disturb_expel_lose_uproot_evict_
displaced,deranged_removed_luxated_uprooted_ectopic_
displease,annoy_dissatisfy_perplex_exasperate_chagrin_
displeased,disappointed_dissatisfied_annoyed_angry_vexed_
displeasing,annoying_bad_disagreeable_distasteful_nasty_
displeasure,annoyance_distaste_disapproval_resentment_umbrage_
disproportionate,superfluous_unequal_inordinate_excessive_unreasonable_
disprove,invalidate_impugn_refute_contradict_belie_
disputable,arguable_controversial_doubtful_dubious_moot_
dispute,row_squabble_discord_wrangle_brawl_
disputed,contend_deny_contest_contradict_challenge_
disquiet,nervousness_anxiety_restlessness_angst_foreboding_
disquieting,distressing_perplexing_unsettling_bothersome_disturbing_
disquietingly,dis quieting_dis-quieting_dissecting_disjointly_dis jointly_
disquietude,dysphoria_anxiety_restlessness_agitation_disquiet_
disregard,negligence_disdain_inattention_apathy_disrespect_
disregardful,careless_inconsiderate_neglectful_negligent_unthoughtful_
disreputable,contemptible_vile_shady_despicable_shameful_
disrepute,disgrace_stigma_scandal_scar_cloud_
disrespect,contempt_coarseness_boldness_impertinence_incivility_
disrespectable,dis respectful_dis-respectful_disrespectfully_disrespect_dis respectfully_

disrespectful,profane_blasphemous_impolite_sacrilegious_flippant_
disrespectfully,harshly_crudely_imprudently_loudly_roughly_
disrespectfulness,gall_guts_spunk_chutzpah_temerity_
disrespecting,sully_defile_disparage_debase_tarnish_
disrupt,rattle_disturb_rummage_discompose_unsettle_
disruption,interruption_break_separation_severance_splitting_
disruptive,upsetting_disturbing_troublesome_rowdy_unruly_
diss,dis_dises_siss_discs_dies_
dissapointed,dis appointed_dis-appointed_disjointed_dis jointed_dis-jointed_
dissappointed,dis appointed_dis-appointed_disappoint_dis appoints_dis-appoints_
dissappointing,dis appointing_dis-appointing_disappoint_dis appoint_dis-appoint_
dissatisfaction,dismay_complaint_anxiety_displeasure_distaste_
dissatisfactory,bad_damaged_deficient_disappointing_distressing_
dissatisfied,complaining_displeased_disappointed_bothered_offended_
dissatisfies,disappoint_perturb_anger_discontent_
dissatisfy,disappoint_perturb_anger_discontent_
dissatisfying,disappoint_perturb_anger_discontent_
dissed,belittle_criticize_disparage_knock_malign_
dissemble,pussyfoot_feign_dissimulate_hide_conceal_
dissembler,bigot_trickster_impostor_phony_crook_
dissension,fuss_discord_wrangle_dissent_disunity_
dissent,discord_objection_disunity_resistance_dissension_
dissenter,skeptic_protester_separatist_heretic_rebel_
dissention,squabble_fuss_discussion_argument_strife_
disservice,injustice_disfavor_harm_hurt_insult_
disses,belittle_criticize_disparage_knock_malign_
dissidence,discordance_disharmony_contention_dissent_disagreement_
dissident,discordant_sectarian_nonconformist_heretical_heterodox_
dissidents,discordant_sectarian_nonconformist_heretical_heterodox_
dissing,chitchat_gossip_repartee_ribbing_small talk_
dissocial,dissociate_dis sociable_dis-sociable_asocial_social_
dissolute,abandoned_corrupt_debauched_degenerate_depraved_
dissolution,divorce_partition_disintegration_division_divorcement_
dissonance,disparity_dissension_incongruity_discrepancy_discord_
dissonant,discordant_incongruous_anomalous_disagreeing_discrepant_
dissonantly,dis sonant_dis-sonant_disjointly_resonantly_dominantly_
dissuade,prevent_discourage_thwart_faze_deter_
dissuasive,discursive_dismissive_suasive_dis cursive_dis-cursive_
distains,distants_destines_distance_dustbins_disdain_
distaste,displeasure_hostility_antipathy_dissatisfaction_repulsion_
distasteful,tasteless_objectionable_abhorrent_unpalatable_unappetizing_
distastefully,dis tasteful_dis-tasteful_distastefuls_distrustfully_dis trustfully_
distort,pervert_misinterpret_disfigure_warp_twist_
distorted,wry_gnarled_colored_perverted_askew_
distortion,lie_exaggeration_misinterpretation_misstatement_bias_
distorts,pervert_misinterpret_disfigure_warp_twist_
distract,disturb_perplex_bewilder_amuse_divert_
distracting,disturb_perplex_bewilder_amuse_divert_
distraction,interruption_complication_disturbance_aberration_confusion_
distraught,perturbed_distressed_concerned_confused_crazy_
distraughtly,straightly_dost right_dost right by_discreetly_doest right by_
distraughtness,discreetness_disparateness_discreteness_disorderedness_destituteness_
distress,irritation_unhappiness_shame_pang_affliction_
distressed,perturbed_shaky_miffed_anxious_agitated_
distressing,dreadful_troublesome_frightening_regrettable_sad_
distressingly,severely_sadly_passionately_thoroughly_profoundly_
distrust,wariness_disbelief_mistrust_misgiving_doubt_
distrustful,skeptical_cautious_wary_fearful_suspicious_
distrusting,discredit_mistrust_disbelieve_question_doubt_
disturb,unsettle_perturb_rattle_frighten_puzzle_
disturbance,turmoil_uprising_shock_explosion_fracas_
disturbed,confused_upset_disordered_disorganized_disrupted_
disturbing,troublesome_embarrassing_annoying_worrisome_distressing_
disturbingly,decidedly_badly_intensely_mightily_desperately_
disunity,dissension_divergence_discord_divergency_severance_
disvalue,de value_de-value_disable_dismal_rise value_
divergent,conflicting_different_various_dissimilar_disparate_
divisive,disruptive_discordant_alienating_at odds_
divisively,decisively_divisible_diversely_
divisiveness,discord_dissent_disunity_argument_friction_
dizzing,dizzying_fizzing_sizzing_dicing_wizzing_
dizzingly,dotingly_daringly_divinely_dingily_dozing_
dizzy,giddy_groggy_woozy_distracted_shaky_
doddering,tottering_decrepit_infirm_senile_shaky_
dodgey,doge_dogy_doggy_dodged_dodger_
dogged,tenacious_stubborn_unshakable_steadfast_indefatigable_
doggedly,strictly_stubbornly_resolutely_constantly_intently_
dogmatic,stubborn_fanatical_categorical_assertive_unequivocal_
doldrums,gloom_stagnation_malaise_slump_stupor_
domineer,bulldoze_menace_bully_hector_intimidate_
domineering,overbearing_dictatorial_imperious_autocratic_bossy_
donside,down side_downsides_downslide_inside_on side_
doom,calamity_downfall_cataclysm_catastrophe_disaster_
doomed,ill-fated_wrecked_cursed_done_overwhelmed_
doomsday,Judgment Day_day of reckoning_Last Day_Last Judgment_the Judgment_
dope,idiot_fool_ass_donkey_dunce_
doubt,hesitation_disbelief_apprehension_confusion_uncertainty_
doubtful,indecisive_unsure_problematic_insecure_suspicious_
doubtfully,dubiously_askance_suspiciously_tentatively_ambiguously_
doubts,hesitation_disbelief_apprehension_confusion_uncertainty_
douchbag,dishrag_touchable_doggy bag_doggy-bag_tote bag_
douchebag,doggie bag_touch base_dishrag_doggy bag_doggy-bag_
douchebags,dirtbags_de bugs_de-bugs_douche_trash bags_
downbeat,negative_cheerless_dejected_dispirited_gloomy_
downcast,forlorn_discouraged_blue_down_bad_
downer,misfortune_drag_bummer_bad scene_bad trip_
downfall,breakdown_undoing_collapse_debacle_deterioration_
downfallen,down line_gonfalon_down_
downgrade,decline_descent_declivity_hill_pitch_
downhearted,blue_crestfallen_dejected_despondent_disconsolate_
downheartedly,downheartedn_turn turtle_
downhill,falling_declining_dipping_dropping_sloping downward_
downside,flaw_drawback_inconvenience_disadvantage_defect_
downsides,flaw_drawback_inconvenience_disadvantage_defect_
downturn,decline_plunge_slump_slide_deterioration_
downturns,decline_plunge_slump_slide_deterioration_
drab,gray_desolate_run-down_shabby_lackluster_
draconian,oppressive_strict_cruel_severe_heavy-handed_
draconic,dragon_dragons_dragoon_drag on_dragoons_
drag,impediment_burden_annoyance_pain_hang-up_
dragged,pull_draw_move_tow_lug_
dragging,boring_protracted_dull_long_prolonged_
dragoon,browbeat_bulldoze_dominate_domineer_oppress_
drags,impediment_burden_annoyance_pain_hang-up_
drain,pipe_duct_sewer_ditch_culvert_
drained,depleted_weary_beat_dragging_spent_
draining,exhausting_taxing_wearing_wearying_fatiguing_
drains,pipe_duct_sewer_ditch_culvert_
drastic,radical_forceful_harsh_dire_desperate_
drastically,utterly_awfully_excessively_remarkably_unduly_
drawback,fault_flaw_stumbling block_deficiency_handicap_
drawbacks,fault_flaw_stumbling block_deficiency_handicap_
dread,alarming_frightening_awe-inspiring_awful_creepy_
dreadful,atrocious_horrific_ghastly_horrendous_abominable_
dreadfully,terribly_badly_fearfully_disturbingly_horribly_
dreadfulness,abnormality_monster_hideousness_horror_deformity_
dreary,tedious_dingy_wretched_lonely_humdrum_
dripped,sprinkle_plop_rain_drizzle_filter_
dripping,sprinkle_plop_rain_drizzle_filter_
drippy,bathetic_emotional_gushy_maudlin_mawkish_
drips,sprinkle_plop_rain_drizzle_filter_
drones,parasite_loafer_idler_sluggard_slug_
droop,wilt_slouch_dangle_sag_wither_
droops,wilt_slouch_dangle_sag_wither_
drop-out,free spirit_flower child_bohemian_beatnik_freethinker_
drop-outs,free spirit_flower child_bohemian_beatnik_freethinker_
dropout,quitter_truant_hippie_nonconformist_failure_
dropouts,quitter_truant_hippie_nonconformist_failure_
drought,lack_scarcity_insufficiency_dearth_deficiency_
drowning,drench_go down_inundate_immerse_soak_
drunk,tipsy_stoned_stewed_high_plastered_
drunkard,souse_bacchanal_soak_alcoholic_tippler_
drunken,intoxicated_inebriated_
dubious,questionable_skeptical_unclear_uncertain_equivocal_
dubiously,suspiciously_doubtingly_indecisively_
dubitable,borderline_chancy_clouded_dubious_equivocal_
dud,flop_debacle_lemon_loser_bust_
dull,tedious_dim_slow_simple_boring_
dullard,fool_dunce_idiot_blockhead_dope_
dumb,speechless_inarticulate_incoherent_mousy_mum_
dumbfound,bewilder_stun_nonplus_boggle_confound_
dump,depot_swamp_magazine_cesspool_ash heap_
dumped,drain_unload_dispose of_get rid of_leave_
dumping,removal_jettison_disposition_discarding_scrapping_
dumps,doldrums_gloom_melancholy_dreariness_bummer_
dunce,ass_donkey_twit_blockhead_pinhead_
dungeon,cell_vault_torture chamber_oubliette_
dungeons,cell_vault_torture chamber_oubliette_
dupe,patsy_sitting duck_fool_sucker_fish_
dust,grime_dirt_soil_powder_soot_
dusty,chalky_dirty_sandy_crumbly_friable_
dwindling,decline_abate_ebb_wane_lessen_
dying,doomed_fading_moribund_decaying_sinking_
earsplitting,ringing_blaring_piercing_deafening_thunderous_
eccentric,whimsical_funny_unconventional_bizarre_strange_
eccentricity,peculiarity_idiosyncrasy_foible_quirk_abnormality_
effigy,puppet_likeness_statue_picture_figure_
effrontery,gall_presumption_chutzpah_self-confidence_crust_
egocentric,selfish_self-centered_self-serving_individualistic_pompous_
egomania,narcissism_conceit_self-importance_self-absorption_self-centeredness_
egotism,selfishness_narcissism_self-absorption_arrogance_conceit_
egotistical,selfish_self-centered_smug_self-important_pompous_
egotistically,selfishly_ostentatiously_arrogantly_airily_boastfully_
egregious,grievous_scandalous_deplorable_flagrant_heinous_
egregiously,courageously_outrageously_
election-rigger,electioneered_elocutionary_
elimination,expulsion_withdrawal_rejection_eradication_destruction_
emaciated,bony_skeletal_gaunt_skinny_scrawny_
emasculate,vitiate_debilitate_fix_devitalize_impoverish_
embarrass,annoy_disturb_perplex_bewilder_perturb_
embarrassing,distressing_tricky_troublesome_perplexing_puzzling_
embarrassingly,embarrassings_embracing_embracings_
embarrassment,dilemma_chagrin_mess_confusion_unease_
embattled,beset_fortified_fighting_prepared_crenelated_
embroil,entangle_tangle_mire_ensnare_involve_
embroiled,entangle_tangle_mire_ensnare_involve_
embroilment,altercation_squabble_clash_brawl_argument_
emergency,difficulty_crunch_accident_necessity_tension_
emphatic,pronounced_resounding_sure_vigorous_definitive_
emphatically,certainly_absolutely_assuredly_flatly_distinctly_
emptiness,desolation_vacuum_blankness_destitution_blank_
encroach,intrude_infringe_trespass_usurp_horn in_
encroachment,invasion_intrusion_inroad_trespass_
endanger,threaten_expose_imperil_menace_hazard_
enemies,murderer_spy_terrorist_competitor_attacker_
enemy,murderer_spy_terrorist_competitor_attacker_
enervate,paralyze_exhaust_devitalize_debilitate_jade_
enfeeble,exhaust_debilitate_unnerve_incapacitate_attenuate_
enflame,toast_grill_thaw_ignite_sear_
engulf,plunge_inundate_consume_flood_overwhelm_
enjoin,admonish_appoint_warn_decree_urge_
enmity,antagonism_acrimony_hostility_bitterness_rancor_
enrage,exasperate_infuriate_incense_inflame_rile_
enraged,angry_infuriated_irate_incensed_upset_
enraging,exasperate_infuriate_incense_inflame_rile_
enslave,incarcerate_suppress_deprive_coerce_shackle_
entangle,implicate_unsettle_perplex_interweave_embroil_
entanglement,liaison_imbroglio_affair_cobweb_jumble_
entrap,entangle_seduce_ensnare_enmesh_entice_
entrapment,liaison_imbroglio_affair_cobweb_jumble_
envious,distrustful_watchful_suspicious_greedy_aspiring_
enviously,obviously_nervously_enormously_envois_onerously_
enviousness,jealousy_resentment_resentfulness_the green-eyed monster_
epidemic,infectious_endemic_contagious_sweeping_catching_
equivocal,ambiguous_muddled_unclear_puzzling_dubious_
erase,wipe out_expunge_obliterate_abolish_eliminate_
erode,destroy_corrode_gnaw_consume_disintegrate_
erodes,destroy_corrode_gnaw_consume_disintegrate_
erosion,disintegration_corrosion_decrease_destruction_despoliation_
err,stumble_misbehave_stray_miscalculate_blow_
errant,stray_wayward_aberrant_unorthodox_erratic_
erratic,whimsical_unusual_volatile_uncertain_irregular_
erratically,carelessly_unevenly_capriciously_eccentrically_
erroneous,untrue_inaccurate_spurious_specious_mistaken_
erroneously,afield_badly_improperly_incorrectly_mistakenly_
error,flaw_omission_miscue_glitch_fault_
errors,flaw_omission_miscue_glitch_fault_
eruptions,explosion_burst_flare-up_breakout_outbreak_
escapade,antic_fling_caper_mischief_vagary_
eschew,abandon_renounce_avoid_forgo_forswear_
estranged,divorce_alienate_leave_divide_separate_
evade,dodge_hide_deceive_conceal_flee_
evasion,prevarication_slip_artifice_pretext_ditch_
evasive,ambiguous_unclear_deceptive_misleading_cagey_
evil,unpleasant_destructive_hateful_vile_malicious_
evildoer,devil_murderer_sociopath_psychopath_troublemaker_
evils,harm_pain_catastrophe_calamity_ill_
eviscerate,gut_weaken_devitalize_
exacerbate,annoy_aggravate_worsen_heighten_irritate_
exagerate,exaggerated_execrate_exonerate_excrete_ex crete_
exagerated,exaggerate_exaggeratedly_excreted_unexaggerated_un exaggerated_
exagerates,exaggerate_exonerates_excretes_ex cretes_ex-cretes_
exaggerate,overdo_magnify_fabricate_distort_emphasize_
exaggeration,falsehood_excess_fantasy_untruth_baloney_
exasperate,annoy_disturb_embitter_peeve_infuriate_
exasperated,annoy_disturb_embitter_peeve_infuriate_
exasperating,annoy_disturb_embitter_peeve_infuriate_
exasperatingly,exasperatings_ex asperating_ex-asperating_
exasperation,annoyance_rage_fury_resentment_pique_
excessive,extra_enormous_needless_exaggerated_superfluous_
excessively,very_unreasonably_extremely_
exclusion,embargo_omission_rejection_veto_refusal_
excoriate,chafe_peel_rub_scratch_strip_
excruciating,unbearable_grueling_acute_searing_severe_
excruciatingly,awkwardly_miserably_disturbingly_restlessly_uneasily_
excuse,justification_alibi_apology_trick_rationalization_
excuses,justification_alibi_apology_trick_rationalization_
execrate,imprecate_abominate_despise_vilify_curse_
exhaust,drain_sap_overwork_cripple_weary_
exhausted,disabled_dead_weak_drained_weakened_
exhaustion,debility_debilitation_collapse_consumption_feebleness_
exhausts,drain_sap_overwork_cripple_weary_
exhorbitant,exhibiting_exhibitings_exhibited_
exhort,beseech_admonish_incite_encourage_persuade_
exile,dispersion_proscription_exclusion_displacement_expulsion_
exorbitant,unwarranted_enormous_inordinate_unreasonable_outrageous_

exorbitantly,utterly_awfully_excessively_remarkably_unduly_
expel,dislodge_evacuate_remove_exhaust_ejaculate_
expensive,costly_fancy_high_lavish_valuable_
expire,quit_finish_depart_conclude_die_
expired,quit_finish_depart_conclude_die_
explode,collapse_mushroom_burst_shatter_detonate_
exploit,feat_deed_accomplishment_escapade_adventure_
exploitation,using_bleeding_profiteering_
explosive,meteoric_frenzied_stormy_touchy_hazardous_
expropriate,confiscate_sequester_requisition_annex_assume_
expropriation,appropriation_confiscation_arrogation_impounding_
expulse,oust_relegate_eject_ostracize_get rid of_
expunge,wipe out_annul_exterminate_omit_abolish_
exterminate,wipe out_annihilate_obliterate_stamp out_slaughter_
extermination,liquidation_eradication_slaughter_genocide_elimination_
extinguish,snuff out_quench_stamp out_smother_suffocate_
extort,extract_wrest_exact_coerce_elicit_
extortion,shakedown_fraud_coercion_theft_badger_
extraneous,additional_immaterial_incidental_unnecessary_supplementary_
extravagance,absurdity_luxury_exaggeration_excess_profusion_
extravagant,fantastic_excessive_ludicrous_fancy_lavish_
extravagantly,readily_abundantly_amply_cleanly_lavishly_
extremism,intolerance_zeal_bigotry_hatred_madness_
extremist,radical_zealot_fanatic_revolutionary_agitator_
extremists,radical_zealot_fanatic_revolutionary_agitator_
eyesore,blight_blemish_disgrace_disfigurement_dump_
f**k,fe_wk_fs_ok_uk_
fabricate,dream up_formulate_contrive_construct_invent_
fabrication,falsehood_myth_fiction_forgery_untruth_
facetious,amusing_blithe_clever_comic_comical_
facetiously,merrily_ridiculously_jokingly_amusingly_absurdly_
fail,decline_fall_founder_flounder_flop_
failed,decline_fall_founder_flounder_flop_
failing,short_scanty_shy_faint_defeated_
fails,decline_fall_founder_flounder_flop_
failure,breakdown_loss_misstep_collapse_decline_
failures,breakdown_loss_misstep_collapse_decline_
faint,dim_remote_dull_slight_inaudible_
fainthearted,afraid_cowardly_fearful_frightened_gutless_
faithless,capricious_changeable_cheating_deceitful_dishonest_
fake,spurious_phony_fraudulent_fictitious_forged_
fall,decline_plunge_spill_drop_slump_
fallacies,falsehood_deception_misinterpretation_untruth_heresy_
fallacious,deceptive_delusive_erroneous_fictitious_fishy_
fallaciously,maliciously_fallacies_felicitously_ferociously_
fallaciousness,prevarication_tall tale_deception_falsity_misstatement_
fallacy,falsehood_deception_misinterpretation_untruth_heresy_
fallen,decayed_shaken_loose_shamed_immoral_
falling,lowering_plunging_tumbling_descending_sinking_
fallout,radioactive dust_radioactive waste_
falls,decline_plunge_spill_drop_slump_
false,fake_untrue_distorted_mistaken_improper_
falsehood,prevarication_tall tale_deception_falsity_misstatement_
falsely,treacherously_unscrupulously_maliciously_basely_crookedly_
falsify,contravene_pervert_exaggerate_contradict_misstate_
falter,reel_flounder_hesitate_waver_wobble_
faltered,reel_flounder_hesitate_waver_wobble_
famine,drought_starvation_poverty_scarcity_misery_
famished,empty_starved_hollow_hungry_ravenous_
fanatic,enthusiast_devotee_bigot_freak_maniac_
fanatical,stubborn_single-minded_narrow-minded_frenzied_zealous_
fanatically,frantically_genetically_franticly_fanatics_fanatic_
fanaticism,intolerance_zeal_bigotry_hatred_madness_
fanatics,enthusiast_devotee_bigot_freak_maniac_
fanciful,whimsical_imaginative_fantastic_fantastical_fictional_
far-fetched,bizarre_doubtful_dubious_eccentric_fantastic_
farce,comedy_mockery_joke_skit_burlesque_
farcical,funny_ludicrous_preposterous_outrageous_ridiculous_

farcically,farcicality_fascicle_basically_facilely_physically_
farfetched,fantastic_dubious_preposterous_improbable_strange_
fascism,absolutism_regimentation_autocracy_bureaucracy_racism_
fascist,autocrat_tyrant_authoritarian_totalitarian_Nazi_
fastidious,choosy_discriminating_squeamish_exacting_finicky_
fastidiously,warily_delicately_thoroughly_laboriously_gingerly_
fastuous,fastidious_facetious_fests_fast ones_fastings_
fat,bulky_obese_inflated_bulging_hefty_
fat-cat,baron_big shot_deep pocket_magnate_tycoon_
fat-cats,facts_fat cat_fat-cat_
fatal,catastrophic_calamitous_mortal_cataclysmic_disastrous_
fatalistic,gloomy_depressed_despondent_sad_glum_
fatalistically,fertilized egg_fertilized eggs_
fatally,badly_desperately_unfortunately_impossibly_incurably_
fatcat,well-heeled_well-off_affluent_well-to-do_wealthy_
fatcats,fat cat_fat-cat_facts_
fateful,eventful_decisive_crucial_momentous_acute_
fatefully,fitfully_hatefully_faithfully_
fathomless,bottomless_plumbless_plummetless_
fatigue,weakness_lethargy_weariness_debility_feebleness_
fatigued,exhausted_listless_weary_prostrate_beat_
fatique,fatigued_toque_fate_fatlike_
fatty,oily_greasy_rich_unctuous_oleaginous_
fatuity,idiocy_stupidity_absurdity_foolishness_asininity_
fatuous,absurd_asinine_brainless_dense_dull_
fatuously,famously_arduously_furiously_duteously_fortuitously_
fault,omission_negligence_defect_misconduct_offense_
faults,omission_negligence_defect_misconduct_offense_
faulty,damaged_erroneous_inaccurate_defective_inadequate_
fawningly,obediently_subserviently_abjectly_dutifully_grovelingly_
faze,annoy_dismay_mystify_dumbfound_confuse_
fear,dismay_anxiety_angst_horror_unease_
fearful,shy_timid_afraid_hesitant_nervous_
fearfully,nervously_timidly_apprehensively_diffidently_in alarm_
fears,dismay_anxiety_angst_horror_unease_
fearsome,scary_awe-inspiring_impressive_intimidating_imposing_
feckless,aimless_carefree_careless_feeble_fustian_
feeble,fragile_paltry_inefficient_weakened_lame_
feeblely,feebly_
feebleminded,dim-witted_dumb_half-witted_moronic_retarded_
feign,play_dissimulate_bluff_assume_invent_
feint,ruse_blind_stratagem_bait_cheat_
fell,shoot_tumble_drop_flatten_slash_
felon,convict_delinquent_lawbreaker_offender_malefactor_
felonious,base_corrupt_evil_illegal_illicit_
ferociously,murderously_berserk_insanely_madly_savagely_
ferocity,savagery_ferociousness_violence_cruelty_barbarity_
fetid,stinking_putrid_noxious_revolting_smelly_
fever,delirium_frenzy_turmoil_restlessness_unrest_
feverish,fiery_hectic_fevered_febrile_burning_
fevers,delirium_frenzy_turmoil_restlessness_unrest_
fiasco,breakdown_disaster_farce_failure_mess_
fib,prevarication_story_equivocation_invention_whopper_
fibber,fabulist_fabricator_prevaricator_storyteller_falsifier_
fickle,unpredictable_unstable_volatile_flighty_capricious_
fiction,drama_novel_myth_imagination_fable_
fictional,made-up_fanciful_make-believe_imaginary_imagined_
fictitious,mythical_spurious_apocryphal_fictional_phony_
fidget,fret_squirm_twiddle_jiggle_twitch_
fidgety,jumpy_restless_apprehensive_impatient_uneasy_
fiend,ogre_barbarian_troll_savage_devil_
fiendish,nefarious_atrocious_beastly_cruel_demonic_
