Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,84.410004,84.860001,84.239998,84.330002,13679100,84.330002
2016-10-20,85.379997,85.519997,84.790001,84.93,10175100,84.93
2016-10-19,86.650002,86.82,85.440002,85.540001,12788800,85.540001
2016-10-18,88.209999,88.269997,87.440002,87.449997,10749500,86.779997
2016-10-17,88.43,88.650002,87.709999,87.830002,7610600,87.15709
2016-10-14,88.50,88.959999,88.220001,88.43,7369000,87.752492
2016-10-13,88.050003,88.57,87.599998,88.239998,11158100,87.563945
2016-10-12,88.739998,89.010002,88.330002,88.57,17118000,87.891419
2016-10-11,88.830002,89.120003,88.199997,88.540001,11723100,87.86165
2016-10-10,90.190002,90.330002,88.779999,89.059998,15492400,88.377662
2016-10-07,89.010002,90.050003,88.300003,90.00,20518800,89.310463
2016-10-06,88.610001,89.730003,88.470001,89.220001,61462800,88.53644
2016-10-05,88.480003,89.00,88.209999,88.849998,64580300,88.169272
2016-10-04,88.290001,88.68,87.949997,88.349998,23317600,87.673103
2016-10-03,89.349998,89.449997,88.410004,88.660004,26789500,87.980733
2016-09-30,88.300003,90.220001,88.290001,89.75,123735700,89.062378
2016-09-29,89.160004,89.269997,87.540001,88.230003,74587500,87.554027
2016-09-28,88.980003,89.730003,88.470001,89.459999,89806000,88.774599
2016-09-27,88.059998,88.809998,87.660004,88.360001,65150800,87.683029
2016-09-26,87.419998,88.43,86.610001,87.849998,60276600,87.176934
2016-09-23,88.629997,88.940002,87.489998,87.760002,48281400,87.087627
2016-09-22,87.769997,89.300003,87.769997,88.989998,52692700,88.308199
2016-09-21,88.540001,88.790001,86.440002,87.800003,55409800,87.127321
2016-09-20,88.50,88.949997,88.18,88.580002,33986500,87.901344
2016-09-19,87.919998,88.949997,87.25,88.370003,19173900,87.692954
2016-09-16,87.620003,88.110001,87.300003,88.050003,23518300,87.375406
2016-09-15,86.75,88.269997,86.75,88.059998,13833600,87.385324
2016-09-14,87.120003,87.599998,86.870003,87.010002,25397900,86.343373
2016-09-13,87.550003,87.910004,87.010002,87.050003,19682700,86.383068
2016-09-12,86.040001,88.379997,85.959999,88.25,16105700,87.573871
2016-09-09,87.099998,87.169998,86.239998,86.239998,21955000,85.579268
2016-09-08,87.949997,88.18,87.629997,87.779999,23465700,87.10747
2016-09-07,88.309998,88.410004,87.709999,87.949997,17556400,87.276166
