Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,805.929993,805.940002,796.820007,800.710022,1163100,800.710022
2016-10-06,804.080017,806.950012,800.51001,803.080017,1097800,803.080017
2016-10-05,806.00,808.50,800.710022,801.22998,1208200,801.22998
2016-10-04,805.00,806.50,799.669983,802.789978,1254200,802.789978
2016-10-03,802.549988,803.539978,796.22998,800.380005,1486100,800.380005
2016-09-30,803.599976,808.090027,801.50,804.059998,1626700,804.059998
2016-09-29,807.22998,813.909973,800.859985,802.640015,1348200,802.640015
2016-09-28,804.080017,810.25,802.780029,810.059998,1468800,810.059998
2016-09-27,801.830017,813.48999,801.830017,810.72998,1353900,810.72998
2016-09-26,809.820007,810.080017,800.450012,802.650024,1426900,802.650024
2016-09-23,815.140015,817.00,812.72998,814.960022,1407400,814.960022
2016-09-22,810.00,819.059998,807.710022,815.950012,1751800,815.950012
2016-09-21,801.26001,805.909973,796.030029,805.030029,1342200,805.030029
2016-09-20,800.00,802.75,798.26001,799.780029,1049200,799.780029
2016-09-19,801.109985,803.98999,793.559998,795.390015,1146700,795.390015
2016-09-16,799.02002,799.02002,793.619995,797.969971,2125200,797.969971
2016-09-15,790.01001,803.650024,788.659973,801.22998,1557200,801.22998
2016-09-14,787.530029,796.330017,787.530029,790.460022,1292100,790.460022
2016-09-13,794.01001,795.789978,784.330017,788.719971,1801000,788.719971
2016-09-12,784.52002,800.169983,783.50,798.820007,1848200,798.820007
2016-09-09,798.77002,801.75,788.049988,788.47998,1858500,788.47998
2016-09-08,805.219971,808.419983,801.01001,802.840027,1175200,802.840027
2016-09-07,807.929993,810.599976,803.719971,807.98999,1145300,807.98999
