DATE	COMPANY	afford	jam	mania	innovative	beloved	worry	heaven	recommendations	important	honor	glory	encouraging	entertaining	hug	PRICE DIRECTION
2016-10-31	Merck	0.00136054421769	0.00136054421769	0.0	0.0	0.0	0.0	0.0	0.00272108843538	0.0	0.0	0.0	0.00136054421769	0.0	0.0	-
2016-11-01	Merck	0.0	0.0	0.0	0.00116959064327	0.00116959064327	0.00146198830409	0.0	0.0	0.0	0.0	0.0	0.00116959064327	0.0	0.0	+
2016-11-04	Merck	0.00502092050208	0.0	0.0	0.0	0.00251046025105	0.0	0.0	0.0	0.0	0.0	0.0	0.00334728033473	0.0	0.0	+
2016-11-05	Merck	0.00533333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.00266666666666	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-06	Merck	0.00388349514563	0.0	0.0	0.0	0.00388349514563	0.0	0.0	0.00582524271844	0.0	0.0	0.0	0.00194174757282	0.0	0.0	+
2016-11-07	Merck	0.00416666666667	0.0	0.0	0.0	0.00208333333333	0.00260416666668	0.0	0.0	0.0	0.0	0.0	0.00104166666667	0.0	0.0	+
2016-11-08	Merck	0.0010752688172	0.0	0.0	0.0	0.00537634408602	0.0	0.0	0.0010752688172	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-11-18	Merck	0.0	0.0	0.000833333333334	0.0	0.0025	0.0	0.0	0.0025	0.00104166666667	0.0	0.0	0.0025	0.0	0.0	+
2016-11-19	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-11-20	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014367816092	0.0	0.0	0.0	0.0	0.0	+
2016-11-22	Merck	0.0	0.0	0.0010752688172	0.0	0.0	0.00134408602151	0.0	0.0010752688172	0.002688172043	0.0	0.0	0.0	0.0	0.0	+
2016-11-25	Merck	0.00289855072464	0.0	0.0	0.0	0.0	0.0036231884058	0.0	0.00579710144928	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-26	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0025641025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-27	Merck	0.0	0.00983606557378	0.0	0.0	0.0	0.00409836065575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-11-28	Merck	0.00287769784172	0.0	0.0	0.0	0.00143884892086	0.00179856115108	0.00143884892086	0.00143884892086	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-11-29	Merck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
