DATE	COMPANY	master	creative	fresh	confidence	dynamic	significant	works	top	trick	dumb	sweet	PRICE DIRECTION
2016-09-19	JPMorganChase	0.00222222222222	0.00222222222222	0.00222222222222	0.0	0.0	0.00138888888889	0.0	0.00111111111111	0.0	0.0	0.0	+
2016-09-23	JPMorganChase	0.0	0.0	0.00127388535032	0.0	0.0	0.0	0.0	0.00127388535032	0.0	0.0	0.00127388535032	-
2016-09-24	JPMorganChase	0.0	0.0	0.00227272727272	0.0	0.0	0.0	0.0	0.00681818181816	0.0	0.0	0.0	+
2016-09-25	JPMorganChase	0.0	0.0	0.0020202020202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-09-26	JPMorganChase	0.00350877192981	0.00350877192981	0.00116959064327	0.0	0.0	0.00146198830409	0.0	0.00467836257308	0.0	0.0	0.0	-
2016-09-27	JPMorganChase	0.0027027027027	0.0009009009009	0.0018018018018	0.0	0.0	0.0	0.0	0.0018018018018	0.0	0.0	0.0009009009009	+
2016-09-30	JPMorganChase	0.0	0.0	0.00135135135135	0.0	0.0	0.000844594594595	0.0	0.000675675675676	0.0	0.0	0.0	+
2016-10-01	JPMorganChase	0.00925925925926	0.0	0.00185185185185	0.0	0.00185185185185	0.0	0.0	0.0037037037037	0.0	0.0	0.0	+
2016-10-02	JPMorganChase	0.0016	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-10-03	JPMorganChase	0.00263157894737	0.00263157894736	0.00131578947368	0.0	0.0	0.0	0.0	0.00263157894736	0.0	0.0	0.00263157894736	+
2016-10-04	JPMorganChase	0.00170212765958	0.000851063829788	0.000851063829788	0.0	0.000851063829788	0.0	0.0	0.00255319148936	0.0	0.0	0.0	+
2016-10-07	JPMorganChase	0.00127795527157	0.000638977635782	0.000638977635782	0.000638977635782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-10-08	JPMorganChase	0.0	0.0	0.00119047619048	0.0	0.0	0.0	0.0	0.00238095238096	0.0	0.0	0.0	-
2016-10-09	JPMorganChase	0.0	0.00116959064327	0.00116959064327	0.0	0.0	0.0	0.0	0.00116959064327	0.0	0.0	0.0	-
2016-10-10	JPMorganChase	0.0018691588785	0.0	0.00280373831776	0.0	0.0	0.0	0.0	0.0018691588785	0.0	0.0	0.0	+
2016-10-11	JPMorganChase	0.00312500000001	0.0	0.00208333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-10-14	JPMorganChase	0.000454545454544	0.000681818181818	0.00136363636364	0.0	0.000227272727272	0.0	0.000227272727272	0.0	0.0	0.0	0.0	-
2016-10-15	JPMorganChase	0.0	0.00123456790123	0.00246913580247	0.0	0.0	0.0	0.0	0.00123456790123	0.0	0.0	0.0	-
2016-10-16	JPMorganChase	0.00125	0.00125	0.0	0.0	0.0	0.0	0.0	0.00125	0.00125	0.0	0.00125	+
