DATE	COMPANY	master	creative	fresh	confidence	dynamic	significant	works	top	trick	dumb	sweet	PRICE DIRECTION
2016-10-17	JPMorganChase	0.0018018018018	0.0006006006006	0.0012012012012	0.0	0.0	0.0	0.0	0.0	0.0006006006006	0.0	0.0	+
2016-10-18	JPMorganChase	0.000621118012422	0.000621118012422	0.00124223602484	0.0	0.0	0.0	0.0	0.000621118012422	0.0	0.0	0.0	+
2016-10-21	JPMorganChase	0.00147058823529	0.00147058823529	0.0	0.0	0.0	0.0	0.00147058823529	0.00147058823529	0.00147058823529	0.0	0.0	-
2016-10-22	JPMorganChase	0.0	0.0034188034188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-10-23	JPMorganChase	0.00344827586206	0.00229885057472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-10-24	JPMorganChase	0.000749063670412	0.000749063670412	0.00299625468165	0.0	0.0	0.0	0.0	0.000749063670412	0.0	0.0	0.000749063670412	-
2016-10-25	JPMorganChase	0.000904977375566	0.0	0.000904977375566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-10-28	JPMorganChase	0.00392156862746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-10-29	JPMorganChase	0.00845070422536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-10-30	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-10-31	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
2016-11-01	JPMorganChase	0.0	0.00173913043478	0.0	0.0	0.0	0.00217391304348	0.0	0.0	0.0	0.0	0.0	-
2016-11-04	JPMorganChase	0.0043795620438	0.0014598540146	0.0014598540146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-05	JPMorganChase	0.0	0.0	0.00277777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-06	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-07	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-08	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0012987012987	0.0	0.0	0.0	0.0	+
2016-11-18	JPMorganChase	0.000564971751412	0.0	0.000564971751412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00169491525424	+
2016-11-19	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00121951219512	+
2016-11-20	JPMorganChase	0.000462962962962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00185185185185	-
2016-11-22	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018779342723	0.0	0.0	0.0018779342723	-
2016-11-25	JPMorganChase	0.0025974025974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-26	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00338983050848	+
2016-11-27	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+
2016-11-28	JPMorganChase	0.0	0.0	0.00190476190476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00190476190476	+
2016-11-29	JPMorganChase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-
