DATE	COMPANY	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8	Cluster_9	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Cluster_32	Cluster_33	Cluster_34	Cluster_35	Cluster_36	Cluster_37	Cluster_38	Cluster_39	Cluster_40	Cluster_41	Cluster_42	Cluster_43	Cluster_44	Cluster_45	Cluster_46	Cluster_47	Cluster_48	Cluster_49	Cluster_50	Cluster_51	Cluster_52	Cluster_53	Cluster_54	Cluster_55	Cluster_56	Cluster_57	Cluster_58	Cluster_59	Cluster_60	Cluster_61	Cluster_62	Cluster_63	Cluster_64	Cluster_65	Cluster_66	Cluster_67	Cluster_68	Cluster_69	Cluster_70	Cluster_71	Cluster_72	Cluster_73	Cluster_74	Cluster_75	Cluster_76	Cluster_77	Cluster_78	Cluster_79	Cluster_80	Cluster_81	Cluster_82	Cluster_83	Cluster_84	Cluster_85	Cluster_86	Cluster_87	Cluster_88	Cluster_89	Cluster_90	Cluster_91	Cluster_92	Cluster_93	Cluster_94	Cluster_95	Cluster_96	Cluster_97	Cluster_98	Cluster_99	Cluster_100	Cluster_101	Cluster_102	Cluster_103	Cluster_104	Cluster_105	Cluster_106	Cluster_107	Cluster_108	Cluster_109	Cluster_110	Cluster_111	Cluster_112	Cluster_113	Cluster_114	Cluster_115	Cluster_116	Cluster_117	Cluster_118	Cluster_119	Cluster_120	Cluster_121	Cluster_122	Cluster_123	Cluster_124	Cluster_125	Cluster_126	Cluster_127	Cluster_128	Cluster_129	Cluster_130	Cluster_131	Cluster_132	Cluster_133	Cluster_134	Cluster_135	Cluster_136	Cluster_137	Cluster_138	Cluster_139	Cluster_140	Cluster_141	Cluster_142	Cluster_143	Cluster_144	Cluster_145	Cluster_146	Cluster_147	Cluster_148	Cluster_149	Cluster_150	
2016-10-13	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00822288529916	0.0420057623591	0.0926800779489	-0.0205717709954	-0.0637637554371	0.0144581612559	0.0443512637383	0.152736399056	0.112698851651	0.0084029627272	-0.0141774865371	-0.0477780442915	0.0224510168287	-0.0557708998643	0.019060103491	0.0427022170325	0.0812961984154	0.054222390042	0.0626714514497	0.0127483654068	0.137170439312	0.0697042122334	0.0511415299729	0.0918453395909	0.076736973017	0.0626714514497	0.0127483654068	0.137170439312	0	0.076736973017	0.049885612634	0.0123416090002	0.0743492677498	0.0115280961872	0.0604347538096	0.0115280961872	0.0498794018287	0.0539204177983	0.0599819417528	0.0205823529591	-0.0233632203453	0.0183093607037	0.070552858259	0.13257322755	0.0841790370186	0.0286155956198	0.049763215549	0.0495889361295	0.0547854389412	0.0131128578921	0.077250366603	0.0412875183026	0.0639245160801	0.049299360653	0.052372928979	0.0246594022879	0.0985792773832	0.0587720828995	0.0489665030071	0.0735232469608	0.0651712368199	0.052372928979	0.0246594022879	0.0985792773832	0	0.0651712368199	0.025513307747	-0.00191558379101	0.0217568607172	-0.0550655559489	0.0351120386277	-0.0550655559489	0.024885491911	0.0467716245348	0.0796008234705	-0.00411012141358	-0.0476035414004	0.015998641035	0.0548319015466	0.144671130454	0.101290925798	0.0164880158842	0.0113987942973	-0.00883125212311	0.0353847856737	-0.0282173967618	0.0423362087358	0.0421363375405	0.0743475254812	0.0522531782864	0.0585520424614	0.0175127801592	0.121733974541	0.0653313604998	0.0502715191866	0.0845165025388	0.0721106785382	0.0585520424614	0.0175127801592	0.121733974541	0	0.0721106785382	0.0401366906792	0.00663873188374	0.0533123049367	-0.0151093646673	0.0503056677368	-0.0151093646673	
2016-10-09	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0525159380893	-0.0230531711537	0.0358723627174	-0.0556272249086	-0.0618497985474	-0.012988717915	-0.0269040611533	0.0243196927187	0.0300960277181	-0.0187650529143	-0.0541924269154	-0.0575454045678	-0.0108365209252	-0.0596976015576	-0.0166128559245	0.0334059606063	0	0.0334059606063	0	0.0334059606063	0	0.0976902765749	0.0655481185906	0.0976902765749	0.0976902765749	0	0.0334059606063	0	0	0.0976902765749	0.0115877329126	0.0224968467595	0.0115877329126	0.0115877329126	0.0546390047437	0.0115877329126	0.21672757539	0.0885966473567	-0.16766520871	0.0548537054496	-0.268894034431	-0.218279621571	0.233995384753	0.26853100348	0.0504328973848	-0.000181515475953	0.185375514826	0.122671393697	-0.0224969075066	-0.0731113203674	0.195601198588	0.08541700614	0	0.08541700614	0	0.08541700614	0	0.0738003102445	0.0796086581922	0.0738003102445	0.0738003102445	0	0.08541700614	0	0	0.0738003102445	-0.253902202492	-0.0842425981761	-0.253902202492	-0.253902202492	-0.0900509461238	-0.253902202492	0.0147949402806	0.00485928347392	-0.0150120301394	-0.0280069923191	-0.113610857518	-0.0643114438289	0.0383208003234	0.0853725204089	0.0351802451348	-0.0141191685547	0.00569955851984	-0.0124912050016	-0.0137516175705	-0.06305103126	0.0364406577036	0.0464087219897	0	0.0464087219897	0	0.0464087219897	0	0.0917177849923	0.069063253491	0.0917177849923	0.0917177849923	0	0.0464087219897	0	0	0.0917177849923	-0.0547847509386	-0.00418801447443	-0.0547847509386	-0.0547847509386	0.0184665170268	-0.0547847509386	
2016-10-06	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00348633961451	0.0309018519969	0.0857328767617	0.0508727321903	0.145645517342	0.115689197052	-0.00841229896944	-0.0322095761373	0.0267616503122	0.0567179706023	0.015926823853	0.024220480012	0.0395985791994	0.0545767393445	0.0101129659747	-0.00534912138542	-0.0299827596112	0.0439181550662	0.0363540953314	0.106472980141	0.169027805217	0.0267965196861	0.0703565843444	0.0835757989835	0.112059801061	-0.0299827596112	0.0439181550662	0	0.169027805217	0.0835757989835	-0.0104132078549	0.036322025362	0.0287258956578	0.0988768504372	0.0652924978749	0.0287258956578	-0.00952189862359	-0.026806356395	-0.0613752719379	0.0290734088786	0.106264023883	0.0224443759726	-0.0145795088105	-0.0246947291842	-0.0430350005611	0.0407846473494	0.0405955911983	0.0740072510796	0.0401616203252	0.0820714442805	0.0493317560137	0.03626838917	-0.00123857910896	0.111282325728	0.0425582606646	0.12071713297	0.130151940212	0.0140904833402	0.0567071391023	0.0294195457894	0.0629970105968	-0.00123857910896	0.111282325728	0	0.130151940212	0.0294195457894	-0.000657146058149	0.0558940228857	0.000505720043467	0.0653288301275	0.0197816038741	0.000505720043467	0.107018400062	0.125798593529	0.163358980461	0.11951884903	0.144519746966	0.153939363713	0.0937113569026	0.067097270583	0.115228125522	0.105808508774	0.0648834835694	0.0367935392407	0.0684348995458	0.063725091172	0.0443694720763	0.0217628583663	0.00452713355271	0.0562343079935	0.0670415035405	0.124152275755	0.192070243516	-0.000831172561863	0.0146184502135	-0.00618947867644	0.0598970953878	0.00452713355271	0.0562343079935	0	0.192070243516	-0.00618947867644	0.0457406092103	0.0922009342595	0.128167560526	0.160118902021	0.0385962010575	0.128167560526	
2016-09-23	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0315467166696	-0.0236776890579	0.0241362183482	-0.0224685151271	0.0265545662099	0.0422926214333	-0.00829287595497	0.0338396043844	0.0443316412	0.0459438731077	-0.0387591006302	-0.016937436741	-0.00644539992534	-0.00483316801759	0.00847754417016	0.204158721261	0.204158721261	0	0.204158721261	0	0	0.13338473596	0.0979977433097	0.0979977433097	0.0979977433097	0.12524594893	0.0463331765981	0.0463331765981	0.0463331765981	0.0807762210725	0.126146514069	0.0481343068762	0.0481343068762	0.0481343068762	0.0813765978319	0.0472337417371	0.0871530143339	0.0110936081596	0.0323837724697	0.0302268652414	0.0706502866332	-0.0814685257153	0.0608785449497	0.108261945683	0.00684940411738	0.0323604135597	0.0575505668942	0.102715315591	0.00130277402491	0.0268137834673	0.0659816535461	0.218465409247	0.218465409247	0	0.218465409247	0	0	0.131822597364	0.0885011914224	0.0885011914224	0.0885011914224	0.142728730118	0.0669920509892	0.0669920509892	0.0669920509892	0.0813314779447	0.088085769242	-0.0422938707629	-0.0422938707629	-0.0422938707629	0.0449028373606	0.0123490901131	-0.000638754434675	-0.00284655165731	0.0341186510243	-0.0372899752009	-0.0347681960628	-0.0391837905081	0.00584547612601	0.0362836297693	0.0333399001391	-0.0125846645856	-0.0160104380942	-0.00014289393109	-0.00308662356127	-0.049011188286	0.00783842914387	0.210223144417	0.210223144417	0	0.210223144417	0	0	0.0713883152757	0.00197090070512	0.00197090070512	0.00197090070512	0.152302443722	0.0943817430275	0.0943817430275	0.0943817430275	0.0327745148126	0.125923044886	0.0416229453542	0.0416229453542	0.0416229453542	0.0151882489215	0.0680023441909	
2016-09-25	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148932657568	0.0462348295475	0.14025952092	-0.00423619556598	-0.0616245795344	0.0393174706926	0.0301544651926	0.0759380634999	0.10809879221	0.00715674198272	0.0148016891912	0.0146643243427	0.0565293898683	-0.010765310283	0.0350889040618	-0.00811661546208	0	-0.00811661546208	0.242435638907	0.117159511723	0.242435638907	0.202167192139	0.132072589605	0.202167192139	0.215590007728	0	-0.00811661546208	0	0.242435638907	0.202167192139	0	-0.00811661546208	0	0.242435638907	0.202167192139	0	0.0148932657568	0.0462348295475	0.14025952092	-0.00423619556598	-0.0616245795344	0.0393174706926	0.0301544651926	0.0759380634999	0.10809879221	0.00715674198272	0.0148016891912	0.0146643243427	0.0565293898683	-0.010765310283	0.0350889040618	-0.00811661546208	0	-0.00811661546208	0.242435638907	0.117159511723	0.242435638907	0.202167192139	0.132072589605	0.202167192139	0.215590007728	0	-0.00811661546208	0	0.242435638907	0.202167192139	0	-0.00811661546208	0	0.242435638907	0.202167192139	0	
2016-10-08	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123189931208	0.0146733278227	0.00290165431308	0.0374655115018	0.0657679502656	0.128634246218	0.00998694947675	-0.00292845479699	-0.00875856390706	0.0599378411555	-0.000555984210437	-0.029285789015	-0.061473232343	0.0335805069375	-0.035115898125	0.161537728903	0.361908739554	-0.038833281747	0.286602869242	0.0862318585916	0.21129699893	0.190282964326	0.0567022905595	0.104470076713	0.140079050785	0.361908739554	-0.038833281747	0	0.21129699893	0.104470076713	0.361908739554	-0.038833281747	0	0.21129699893	0.104470076713	0	0.134229011081	0.190642354778	-0.0914243637075	0.124794939297	-0.115009543168	-0.138594722628	0.214683445617	0.109711722634	0.310847808975	0.0861265431734	0.180775092049	0.0249408387126	0.141306041133	0.00135565925212	0.226076925054	0.251489795574	0.303839715688	0.199139875459	0.190648537185	0.13829861707	0.077457358681	0.00657120079651	-0.0283287459464	-0.142063056649	-0.0688895848725	0.303839715688	0.199139875459	0	0.077457358681	-0.142063056649	0.303839715688	0.199139875459	0	0.077457358681	-0.142063056649	0	0.0732740021009	0.1026578413	-0.0442613546972	0.0811302253993	-0.0246207964512	-0.00498023820518	0.112335197547	0.0533916339184	0.151044622534	0.0730321921644	0.0901095539193	-0.00217247515119	0.0399164043948	0.0174680830948	0.0954805134644	0.206513762239	0.332874227621	0.0801532968562	0.238625703213	0.112265237831	0.144377178806	0.0984270825615	0.0141867723066	-0.0187964899683	0.0355947329564	0.332874227621	0.0801532968562	0	0.144377178806	-0.0187964899683	0.332874227621	0.0801532968562	0	0.144377178806	-0.0187964899683	0	
2016-10-05	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108734501051	0.134213938455	0.0953281671959	0.159800679715	0.151821261716	0.200812107988	0.146679986298	0.130828152249	0.174570721154	0.195234115268	0.0978003281009	0.0526206991332	0.0768114047591	0.130061237671	0.112566979783	0.273588425542	0.188345927115	0.103103428688	0.225312383893	0.201174363068	0.168484051608	0.111211026548	0.0570852268827	0.0685897773341	0.114720881357	0.10619994567	-0.0611885342017	0.0209574472433	0.113720063978	0.0275167866116	0.273588425542	0	0.103103428688	0.201174363068	0.0570852268827	-0.0611885342017	0.0714688565911	0.0670006954952	0.0051388600807	0.0809397197524	0.052186033058	0.0406630855308	0.0720128868822	0.0379031004658	0.0228094197906	0.0561252107017	0.0705404194257	0.0355471525353	0.0198644848774	0.0541619207595	0.0422594769327	0.148443270991	0.150424672572	0.152406074153	0.0679034574511	0.0276335506811	0.0692243918383	0.0389630396546	0.00246962920912	0.039953740445	0.0125351977979	0.0688739887498	-0.0106952934916	0.0708553903306	0.0148572692902	-0.000821601466055	0.148443270991	0	0.152406074153	0.0276335506811	0.00246962920912	-0.0106952934916	0.116425500705	0.148198554154	0.0313685196181	0.170145672962	0.113215923526	0.160073109404	0.13789685736	0.0616178185619	0.0955754781996	0.142379328596	0.132352054335	0.0527461337216	0.0844858721493	0.134986257895	0.0919878370921	0.180999160881	0.184338638092	0.187678115303	0.146122531116	0.128684216233	0.148348849256	0.0264206952106	-0.0251054600131	0.0280904338158	0.0364104104855	0.0870591214431	-0.00688091799517	0.0903985986537	0.0834958381571	-0.0205493245086	0.180999160881	0	0.187678115303	0.128684216233	-0.0251054600131	-0.00688091799517	
2016-09-29	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292714018348	0.0327876670171	0.0468527277461	-0.00325658648323	-0.0683125631193	-0.0299241328308	0.0134664387845	-0.0497534134168	-0.00145034283532	-0.0621261798851	0.0339510790741	0.0433104335526	0.0444911982838	-0.0125010647833	0.0122891512295	0.0100122811199	0.0100122811199	0	0.0100122811199	0	0	0.0260253528563	0.0473761151714	0.0473761151714	0.0473761151714	0.0100122811199	0	0	0	0.0473761151714	0.0100122811199	0	0	0	0.0473761151714	0	0.0423374111793	0.0283175653346	-0.0277618180442	0.0175402096912	-0.0320541932851	-0.0306234015381	0.050204756352	0.0816741370428	0.0269561594993	0.00585525015755	0.0193113102988	-0.0267408914622	-0.0270812003229	-0.0293975423736	0.00939745137284	-0.00159867512818	-0.00159867512818	0	-0.00159867512818	0	0	0.041811865343	0.0996925859713	0.0996925859713	0.0996925859713	-0.00159867512818	0	0	0	0.0996925859713	-0.00159867512818	0	0	0	0.0996925859713	0	0.0193580377893	0.023857171967	0.041853708678	-0.0159525209925	-0.086573638556	-0.0437645228113	0.0335262060237	0.0901988789611	0.0660262938195	-0.0276494660503	0.0244497246126	0.0346330982591	0.0370399683987	-0.0259702701484	0.0531550251598	0.0256134549122	0.0256134549122	0	0.0256134549122	0	0	0.0606443340372	0.10735217287	0.10735217287	0.10735217287	0.0256134549122	0	0	0	0.10735217287	0.0256134549122	0	0	0	0.10735217287	0	
2016-09-30	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161513735482	0.022021389043	0.058904197388	-0.00686143022008	0.00913854794363	0.0243849917356	0.0352563857742	0.0853741908504	0.0701266057428	0.050854985198	-0.00954116035234	-0.00422090140275	0.0103965442407	-0.0387401070551	0.028043206549	0.0253697571098	0.0408221476096	-0.0144362911555	0.0568620741173	-0.0376148769052	0.0087422945943	0.061362440819	0.0313702460454	0.0468226365453	0.0658628075207	-0.0157200347841	-0.099249564746	-0.0760709789963	-0.160884252587	-0.00971954584845	0.0568620741173	-0.0376148769052	0.0087422945943	0	0.0658628075207	-0.160884252587	0.0208484825621	0.019036283619	0.00347050654013	0.0111555173496	-0.035737569347	-0.0110689412787	0.0371614381369	0.0397208155759	0.0310137726472	0.0251813677571	0.0360213856606	0.0374407106233	0.0294937026788	0.0229012628045	0.0536605753693	0.0410134147397	0.0436992192214	0.0467527465498	0.0401581021959	0.0427240398274	0.0507814532723	0.0339168241614	0.0326917106937	0.0353775151753	0.0276755461268	0.0302434752629	0.0265691306121	0.0305978373346	0.0104142213969	0.0219217712169	0.0401581021959	0.0427240398274	0.0507814532723	0	0.0276755461268	0.0104142213969	0.0188354358418	0.020315614515	0.0272278026178	0.00343396839114	-0.016504947651	0.00412560144176	0.0363449871243	0.0592865478364	0.0477764154024	0.0361843466603	0.0164945802265	0.0195857340407	0.0213092062053	-0.00351646713534	0.0426817030177	0.0343089900412	0.0424661885306	0.0205288732476	0.0473169473051	0.00829307551341	0.0327646709817	0.0456792313004	0.0321253687016	0.040282567191	0.0440415152957	0.0105448280999	-0.0273531673985	-0.0151173696643	-0.0629994103104	0.0083612067603	0.0473169473051	0.00829307551341	0.0327646709817	0	0.0440415152957	-0.0629994103104	
2016-09-28	Morgan Chase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00669901910022	0.014722417868	0.0225911718073	-0.00974715112812	-0.0181914431863	0.0296159371913	-0.00260550120032	-0.00444709725346	0.0174247240841	-0.00704484491201	-0.00429777916211	-0.00910915657624	0.0432393671063	-0.017934555384	-0.001595472946	0.2313296363	0.2313296363	0	0.105870561013	-0.0195885142749	-0.0195885142749	0.143986796336	0.100315376353	0.100315376353	0.0603474128107	0.2313296363	0	0	-0.0195885142749	0.100315376353	0.2313296363	0	0	-0.0195885142749	0.100315376353	0	0.166811621285	0.134110364187	0.0161114461614	0.119313236915	-0.00855043262607	-0.177984602326	0.173739231584	0.127949395036	0.0874756926886	0.0726785654162	0.186428648663	0.103308586953	-0.0101960729563	-0.0471888911375	0.139793977164	0.264251852028	0.264251852028	0	0.0619371339437	-0.14037758414	-0.14037758414	0.106263195894	0.0272688678273	0.0272688678273	-0.0286132828286	0.264251852028	0	0	-0.14037758414	0.0272688678273	0.264251852028	0	0	-0.14037758414	0.0272688678273	0	0.0511378610282	0.0545183999745	0.0204312632586	0.0332729782196	-0.0149777729995	-0.0395842426477	0.0561760763943	0.039685066843	0.0407750469523	0.0195296251974	0.0592776967795	0.0283634246003	0.0254275537521	-0.0276860006352	0.0455343437573	0.24230370821	0.24230370821	0	0.0912260853231	-0.0598515375633	-0.0598515375633	0.131412262855	0.0759665401781	0.0759665401781	0.0306938475976	0.24230370821	0	0	-0.0598515375633	0.0759665401781	0.24230370821	0	0	-0.0598515375633	0.0759665401781	0	
