DATE	COMPANY	worked	led	kudos	recovery	fastest	amazing	fascinating	lover	generously	errors	disaster	gritty	foe	agony	scare	tragic	cloud	cripple	tank	shocked	hostage	shark	hater	uncomfortably	puppet	vent	delays	refutes	scam	steals	scarcity	penalty	STOCK VALUE	
2016-08-21	INTC	0.000728995808274	0.0034627300893	0.000182248952069	0.00182248952069	0.00328048113723	0.00182248952069	0.000364497904137	0.000182248952069	0.0	0.000546746856206	0.00200473847275	0.0	0.0	0.0	0.0	0.000182248952069	0.0182248952069	0.0	0.00145799161655	0.0	0.000364497904137	0.000728995808274	0.0	0.0	0.000546746856206	0.000364497904137	0.000182248952069	0.0	0.0	0.0	0.0	0.0	-	
2016-08-22	INTC	0.0020974131904	0.00489396411093	0.0	0.00349568865066	0.00396178047075	0.0020974131904	0.00163132137031	0.000466091820089	0.000466091820089	0.0	0.00186436728035	0.0	0.0	0.0	0.0	0.000233045910044	0.036588207877	0.000932183640177	0.00186436728035	0.0	0.000699137730133	0.00139827546027	0.0	0.000466091820089	0.000699137730133	0.000932183640177	0.0	0.0	0.000233045910044	0.0	0.0	0.0	+	
2016-08-23	INTC	0.00166349809886	0.0092680608365	0.0	0.00332699619772	0.00356463878327	0.00118821292776	0.000475285171103	0.000237642585551	0.0	0.0	0.00118821292776	0.0	0.0	0.0	0.000237642585551	0.0	0.0396863117871	0.000475285171103	0.000712927756654	0.0	0.000237642585551	0.000475285171103	0.0	0.0	0.00118821292776	0.000950570342205	0.0	0.0	0.0	0.0	0.0	0.000475285171103	+	
2016-09-05	INTC	0.00234035439652	0.00802407221665	0.0	0.00133734536944	0.00367769976596	0.00367769976596	0.00100300902708	0.0	0.0	0.0	0.00234035439652	0.0	0.0	0.0	0.0	0.0	0.0427950518221	0.0	0.00133734536944	0.0	0.00033433634236	0.0016716817118	0.0	0.0	0.0	0.00033433634236	0.00033433634236	0.0	0.00033433634236	0.000668672684721	0.0	0.00033433634236	+	
2016-09-06	INTC	0.0017548990933	0.00643463000877	0.0	0.00146241591109	0.00497221409769	0.00204738227552	0.00116993272887	0.0	0.0	0.000292483182217	0.00409476455104	0.0	0.000292483182217	0.0	0.0	0.0	0.0432875109681	0.0	0.00321731500439	0.0	0.000292483182217	0.00204738227552	0.0	0.0	0.0	0.0	0.000292483182217	0.0	0.000292483182217	0.000292483182217	0.000584966364434	0.000292483182217	-	
2016-09-09	INTC	0.00292598967298	0.00344234079174	0.0	0.00189328743546	0.00240963855422	0.00120481927711	0.000860585197935	0.0	0.000172117039587	0.000172117039587	0.00275387263339	0.0	0.000172117039587	0.0	0.0	0.000172117039587	0.0340791738382	0.0	0.0013769363167	0.000516351118761	0.0	0.000688468158348	0.0	0.0	0.0	0.0	0.000344234079174	0.0	0.0	0.000172117039587	0.000172117039587	0.0	+	
2016-09-10	INTC	0.00356379187455	0.00249465431219	0.0	0.00142551674982	0.000712758374911	0.00142551674982	0.000712758374911	0.0	0.0	0.0	0.00106913756237	0.0	0.0	0.0	0.0	0.000356379187455	0.0128296507484	0.0	0.0	0.000712758374911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000356379187455	0.000356379187455	0.0	-	
2016-09-11	INTC	0.00430622009569	0.0055023923445	0.000239234449761	0.00143540669856	0.00191387559809	0.00167464114833	0.000239234449761	0.0	0.000239234449761	0.0	0.00191387559809	0.0	0.000239234449761	0.0	0.000956937799043	0.0	0.0272727272727	0.0	0.000956937799043	0.000717703349282	0.000239234449761	0.000956937799043	0.0	0.000239234449761	0.0	0.0	0.000239234449761	0.0	0.0	0.000239234449761	0.0	0.0	+	
2016-09-12	INTC	0.00252525252525	0.00505050505051	0.000229568411387	0.00252525252525	0.00321395775941	0.00252525252525	0.00068870523416	0.000229568411387	0.000229568411387	0.000229568411387	0.00252525252525	0.0	0.000229568411387	0.0	0.000229568411387	0.0	0.027318640955	0.0	0.00114784205693	0.000459136822773	0.000229568411387	0.000918273645546	0.0	0.000229568411387	0.000229568411387	0.0	0.000459136822773	0.0	0.0	0.000459136822773	0.000459136822773	0.0	+	
2016-09-13	INTC	0.00160808637721	0.00390535263037	0.0	0.0013783597519	0.00183781300253	0.00206753962784	0.000459453250632	0.000459453250632	0.0	0.00183781300253	0.00229726625316	0.0	0.0	0.0	0.0	0.0	0.0238915690329	0.0	0.00114863312658	0.000229726625316	0.0	0.000459453250632	0.0	0.0	0.000459453250632	0.0	0.000459453250632	0.0	0.0	0.000689179875948	0.000918906501263	0.000229726625316	-	
