DATE	COMPANY	happy	gentle	complemented	exceeding	rewarding	savings	jerk	shortage	allegation	wasting	stab	poison	lying	contaminated	objectionable	STOCK VALUE
2016-08-05	Boeing	0.00625978090767	0.0	0.0	0.0	0.000260824204486	0.00130412102243	0.0	0.000521648408972	0.0	0.000521648408972	0.0	0.0	0.000521648408972	0.000260824204486	0.0	+	
2016-08-06	Boeing	0.00269687162891	0.0	0.0	0.000539374325782	0.000539374325782	0.000539374325782	0.0	0.0	0.0	0.00107874865156	0.0	0.0	0.000539374325782	0.000539374325782	0.0	-	
2016-08-07	Boeing	0.00326797385621	0.0	0.0	0.000594177064765	0.000594177064765	0.00148544266191	0.0	0.000297088532383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-08-08	Boeing	0.00535381750466	0.0	0.0	0.000232774674115	0.000465549348231	0.00209497206704	0.000232774674115	0.000698324022346	0.00162942271881	0.0	0.0	0.0	0.000465549348231	0.0	0.0	+	
2016-08-09	Boeing	0.00575916230366	0.0	0.0	0.0	0.00157068062827	0.0020942408377	0.000261780104712	0.00497382198953	0.00183246073298	0.0	0.0	0.0	0.000523560209424	0.0	0.0	+	
2016-08-10	Boeing	0.0041948263808	0.0	0.0	0.0	0.00116522955022	0.00186436728035	0.0	0.00372873456071	0.0	0.0	0.0	0.0	0.000699137730133	0.000233045910044	0.000466091820089	N/A (weekend)	
2016-08-11	Boeing	0.0027352297593	0.0	0.0	0.0	0.0	0.00136761487965	0.0	0.00054704595186	0.0	0.0	0.0	0.0	0.00054704595186	0.00027352297593	0.00054704595186	N/A (weekend)	
2016-08-12	Boeing	0.0021815008726	0.0	0.0	0.0	0.00043630017452	0.00130890052356	0.0	0.00043630017452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-08-13	Boeing	0.00179694519317	0.0	0.0	0.0	0.000898472596586	0.00269541778976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-08-14	Boeing	0.00515759312321	0.0	0.0	0.0	0.000573065902579	0.00114613180516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000573065902579	-	
2016-08-15	Boeing	0.00334323922734	0.0	0.0	0.0	0.00037147102526	0.00111441307578	0.0	0.0	0.0	0.00037147102526	0.0	0.0	0.0	0.0	0.00037147102526	+	
2016-08-16	Boeing	0.00283848992336	0.0	0.0	0.000283848992336	0.000283848992336	0.000567697984672	0.0	0.0	0.0	0.000283848992336	0.0	0.0	0.0	0.000283848992336	0.0	-	
2016-08-17	Boeing	0.00320718409237	0.0	0.0	0.000427624545649	0.000213812272824	0.000213812272824	0.0	0.000855249091298	0.0	0.0	0.0	0.0	0.0	0.000213812272824	0.0	N/A (weekend)	
2016-08-18	Boeing	0.00640035312293	0.0	0.0	0.0	0.0	0.0	0.0	0.00132421099095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N/A (weekend)	
2016-08-19	Boeing	0.00530455460033	0.0	0.0	0.0	0.0	0.000365831351747	0.0	0.000914578379367	0.0	0.000365831351747	0.0	0.0	0.0	0.0	0.0	+	
2016-08-20	Boeing	0.00243679561377	0.000304599451721	0.0	0.0	0.0	0.000609198903442	0.0	0.000304599451721	0.0	0.000304599451721	0.0	0.0	0.000304599451721	0.0	0.0	-	
2016-08-21	Boeing	0.0021303792075	0.0	0.000852151683	0.000852151683	0.0	0.0021303792075	0.0	0.0	0.0	0.0004260758415	0.0	0.0	0.0004260758415	0.0004260758415	0.0	-	
2016-08-22	Boeing	0.00369108461102	0.0	0.000567859170926	0.000851788756388	0.0	0.00141964792731	0.0	0.0	0.0	0.000283929585463	0.0	0.0	0.000283929585463	0.000283929585463	0.0	-	
2016-08-23	Boeing	0.00304962572775	0.0	0.0	0.00110895481009	0.0	0.000554477405046	0.0	0.0	0.0	0.0	0.0	0.0	0.000831716107569	0.000831716107569	0.0	-	
2016-08-24	Boeing	0.00330305532618	0.0	0.0	0.00137627305257	0.0	0.000825763831544	0.0	0.00247729149463	0.0	0.0	0.0	0.0	0.000275254610515	0.000825763831544	0.0	N/A (weekend)	
2016-09-05	Boeing	0.00619770684847	0.0	0.0	0.0	0.0	0.00433839479393	0.0	0.000619770684847	0.0	0.0	0.0	0.0	0.0	0.0	0.00092965602727	+	
2016-09-06	Boeing	0.00554016620499	0.000426166631153	0.0	0.000213083315576	0.0	0.00255699978692	0.0	0.00149158320903	0.0	0.0	0.0	0.0	0.0	0.0	0.000639249946729	-	
2016-09-07	Boeing	0.00573248407643	0.000424628450106	0.0	0.000212314225053	0.000212314225053	0.00148619957537	0.0	0.00106157112527	0.0	0.0	0.000212314225053	0.000212314225053	0.000424628450106	0.000424628450106	0.0	N/A (weekend)	
2016-09-08	Boeing	0.00459136822773	0.0	0.0	0.0	0.000459136822773	0.00114784205693	0.0	0.00068870523416	0.0	0.0	0.000229568411387	0.0	0.000229568411387	0.000459136822773	0.0	N/A (weekend)	
2016-09-09	Boeing	0.00371517027864	0.0	0.0	0.0	
