DATE	COMPANY	handily	praising	outperformed	valuable	soft	revives	destroy	blah	unimaginable	troublesome	nemesis	desperately	exhaust	hostility	precipitous	ugliest	improbable	STOCK VALUE	
2016-08-05	Apple	0.000157133878064	0.0	0.0	0.000471401634192	0.000157133878064	0.0	0.000785669390321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-08-06	Apple	0.000208942749687	0.0	0.0	0.000835770998746	0.000417885499373	0.0	0.00062682824906	0.0	0.0	0.0	0.0	0.000208942749687	0.0	0.0	0.0	0.0	0.0	+	
2016-08-07	Apple	0.0	0.0	0.000221827861579	0.000443655723159	0.00155279503106	0.0	0.000221827861579	0.0	0.0	0.0	0.0	0.0	0.0	0.000221827861579	0.0	0.0	0.0	-	
2016-08-08	Apple	0.0	0.000200400801603	0.000400801603206	0.00120240480962	0.00060120240481	0.0	0.00100200400802	0.000400801603206	0.0	0.0	0.0	0.0	0.000200400801603	0.000200400801603	0.0	0.0	0.0	-	
2016-08-09	Apple	0.0	0.0	0.0	0.000497760079642	0.000248880039821	0.0	0.000248880039821	0.0	0.0	0.0	0.0	0.000248880039821	0.0	0.0	0.0	0.0	0.0	+	
2016-08-12	Apple	0.0	0.0	0.0	0.000609260763607	0.00101543460601	0.0	0.0	0.000203086921202	0.0	0.0	0.0	0.000203086921202	0.0	0.0	0.0	0.0	0.0	+	
2016-08-13	Apple	0.000172801105927	0.0	0.000345602211854	0.00172801105927	0.00103680663556	0.0	0.0	0.000172801105927	0.0	0.0	0.0	0.000172801105927	0.0	0.0	0.000172801105927	0.0	0.0	-	
2016-08-14	Apple	0.0	0.0	0.0	0.00137931034483	0.00051724137931	0.0	0.000172413793103	0.0	0.0	0.0	0.0	0.000172413793103	0.0	0.0	0.0	0.0	0.0	+	
2016-08-15	Apple	0.0	0.0	0.000203956761167	0.0018356108505	0.0	0.0	0.000407913522333	0.0	0.0	0.0	0.0	0.0	0.000407913522333	0.000407913522333	0.0	0.0	0.0	-	
2016-08-16	Apple	0.0	0.0	0.0	0.00165425971878	0.000620347394541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-08-19	Apple	0.000170910955392	0.0	0.0	0.000512732866177	0.000512732866177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	
2016-08-20	Apple	0.000160745860794	0.0	0.0	0.000482237582382	0.00112522102556	0.0	0.0	0.0	0.0	0.0	0.0	0.000321491721588	0.0	0.0	0.0	0.0	0.0	+	
2016-08-21	Apple	0.000246487552379	0.0	0.0	0.00221838797141	0.00295785062854	0.0	0.000492975104757	0.000492975104757	0.000492975104757	0.0	0.0	0.000246487552379	0.0	0.000246487552379	0.0	0.000492975104757	0.0	-	
2016-08-22	Apple	0.000188394875659	0.000188394875659	0.0	0.000941974378297	0.0	0.0	0.000376789751319	0.0	0.0	0.0	0.000188394875659	0.000376789751319	0.0	0.0	0.0	0.0	0.0	+	
2016-08-23	Apple	0.00016168148747	0.000323362974939	0.0	0.00113177041229	0.000323362974939	0.0	0.000323362974939	0.0	0.00016168148747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	
2016-09-05	Apple	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	
2016-09-06	Apple	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	
2016-09-09	Apple	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-09-10	Apple	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
2016-09-11	Apple	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	+	
