DATE	COMPANY	innovative	immense	aspirations	insightful	poised	prowess	superior	harassment	vomiting	steal	shocked	broken	skeptical	adverse	STOCK VALUE	
2016-10-03	Merck	0.00799247766808	0.0	0.0	0.0	0.00188058298072	0.0	0.0	0.0	0.0	0.000470145745181	0.00188058298072	0.00141043723554	0.0	0.000470145745181	+	
2016-10-04	Merck	0.00538277511962	0.0	0.0	0.0	0.00239234449761	0.0	0.0011961722488	0.0	0.0	0.000598086124402	0.00239234449761	0.0011961722488	0.0	0.0	=	
2016-10-07	Merck	0.0093023255814	0.0	0.00077519379845	0.0	0.0031007751938	0.00077519379845	0.00077519379845	0.00232558139535	0.0015503875969	0.00077519379845	0.0031007751938	0.0	0.0	0.0341085271318	-	
2016-10-08	Merck	0.0106723585912	0.0	0.00106723585912	0.0	0.00266808964781	0.00106723585912	0.00586979722519	0.00160085378869	0.00266808964781	0.00106723585912	0.00266808964781	0.0	0.000533617929562	0.0458911419424	-	
2016-10-09	Merck	0.00692904656319	0.0	0.00110864745011	0.000277161862528	0.00415742793792	0.00110864745011	0.00415742793792	0.00138580931264	0.00166297117517	0.00110864745011	0.00249445676275	0.000277161862528	0.000831485587583	0.0119179600887	-	
2016-10-10	Merck	0.00751215201061	0.0	0.000441891294741	0.000441891294741	0.00265134776845	0.000441891294741	0.00397702165267	0.00132567388422	0.000883782589483	0.000441891294741	0.00132567388422	0.000441891294741	0.000441891294741	0.00176756517897	+	
2016-10-11	Merck	0.0104712041885	0.00104712041885	0.0	0.000523560209424	0.0020942408377	0.0	0.00366492146597	0.000523560209424	0.0	0.0	0.000523560209424	0.0	0.0	0.00523560209424	-	
2016-10-14	Merck	0.00990099009901	0.0	0.0	0.001100110011	0.001100110011	0.0	0.0	0.002200220022	0.003300330033	0.0	0.003300330033	0.0	0.0	0.017601760176	-	
2016-10-15	Merck	0.00696864111498	0.0	0.0	0.00174216027875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00174216027875	+	
2016-10-16	Merck	0.00489596083231	0.0	0.00122399020808	0.00122399020808	0.00244798041616	0.00122399020808	0.0	0.00122399020808	0.0	0.00122399020808	0.00244798041616	0.0	0.0	0.00122399020808	-	
2016-10-17	Merck	0.00506756756757	0.00337837837838	0.000844594594595	0.000844594594595	0.00506756756757	0.000844594594595	0.0	0.000844594594595	0.00168918918919	0.000844594594595	0.00168918918919	0.0	0.0	0.00168918918919	-	
