"DATE","COMPANY","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_20","Cluster_21","Cluster_22","Cluster_23","Cluster_24","Cluster_25","Cluster_26","Cluster_27","Cluster_28","Cluster_29","Cluster_30","Cluster_31","Cluster_32","Cluster_33","Cluster_34","Cluster_35","Cluster_36","Cluster_37","Cluster_38","Cluster_39","Cluster_40","Cluster_41","Cluster_42","Cluster_43","Cluster_44","Cluster_45","Cluster_46","Cluster_47","Cluster_48","Cluster_49","Cluster_50","Cluster_51","Cluster_52","Cluster_53","Cluster_54","Cluster_55","Cluster_56","Cluster_57","Cluster_58","Cluster_59","Cluster_60","Cluster_61","Cluster_62","Cluster_63","Cluster_64","Cluster_65","Cluster_66","Cluster_67","Cluster_68","Cluster_69","Cluster_70","Cluster_71","Cluster_72","Cluster_73","Cluster_74","Cluster_75","Cluster_76","Cluster_77","Cluster_78","Cluster_79","Cluster_80","Cluster_81","Cluster_82","Cluster_83","Cluster_84","Cluster_85","Cluster_86","Cluster_87","Cluster_88","Cluster_89","Cluster_90","Cluster_91","Cluster_92","Cluster_93","Cluster_94","Cluster_95","Cluster_96","Cluster_97","Cluster_98","Cluster_99","Cluster_100","Cluster_101","Cluster_102","Cluster_103","Cluster_104","Cluster_105","Cluster_106","Cluster_107","Cluster_108","Cluster_109","Cluster_110","Cluster_111","Cluster_112","Cluster_113","Cluster_114","Cluster_115","Cluster_116","Cluster_117","Cluster_118","Cluster_119","Cluster_120","Cluster_121","Cluster_122","Cluster_123","Cluster_124","Cluster_125","Cluster_126","Cluster_127","Cluster_128","Cluster_129","Cluster_130","Cluster_131","Cluster_132","Cluster_133","Cluster_134","Cluster_135","Cluster_136","Cluster_137","Cluster_138","Cluster_139","Cluster_140","Cluster_141","Cluster_142","Cluster_143","Cluster_144","Cluster_145","Cluster_146","Cluster_147","Cluster_148","Cluster_149","Cluster_150","","+/-/="
"2016-09-19","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0223538297611","0.0044919014256","0.0138138387557","0.00828323593552","0.0162225225606","0.0648756149168","0.014298776195","0.0237419478849","0.0749015153492","0.0620382800057","-0.0117473516086","-0.00881571186959","0.0314913023432","0.0294806202512","0.0370000455755","0.0222440963514","0.0222440963514","0","0.0222440963514","0","0","0.0399919889332","0.0577398815151","0.0577398815151","0.0577398815151","0.0222440963514","0","0","0","0.0577398815151","0.0222440963514","0","0","0","0.0577398815151","0","0.0277498106884","0.0468057816205","0.030419597774","-0.0463581495635","-0.0819387702444","-0.0930936693125","0.0450614414794","0.0323357185592","0.0592723157589","-0.0602992317557","0.0541989994487","0.0437576660209","0.0745015790411","-0.048877284294","0.0653972045095","0.045602059446","0.045602059446","0","0.045602059446","0","0","-0.0499237781965","-0.145449615839","-0.145449615839","-0.145449615839","0.045602059446","0","0","0","-0.145449615839","0.045602059446","0","0","0","-0.145449615839","0","0.00269799046365","0.0256488415231","0.0221167182649","-0.019037456814","-0.0328581238419","-0.0141090271978","0.0296801088372","0.028038833222","0.067086915554","0.000869524124999","0.02122582392","0.0174709770756","0.0529964406922","-0.0096983320214","0.0511986250425","0.0339230778987","0.0339230778987","0","0.0339230778987","0","0","-0.00496589463165","-0.043854867162","-0.043854867162","-0.043854867162","0.0339230778987","0","0","0","-0.043854867162","0.0339230778987","0","0","0","-0.043854867162","Cluster_150","-","+/-/="
"2016-09-22","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0255565553161","0.0411806937917","0.0538874082343","0.0196927039626","0.00667585709531","0.032716087888","0.0348587929656","0.0370080351012","0.0630482658938","0.0253493881247","0.0282389286338","0.0148270620453","0.0929477544232","0.00260025462031","0.0480985216291","0.193674040051","0.193674040051","0","0.193674040051","0","0","0.111164262771","0.0699093741303","0.0699093741303","0.0699093741303","0.193674040051","0","0","0","0.0699093741303","0.113295271948","0.0329165038453","0.0329165038453","0.0329165038453","0.0575784173687","0.0329165038453","0.110159074956","0.0876077710083","-0.0854787293345","0.127158244496","0.051317717756","0.0137322111761","0.131890816922","0.060782862608","0.0231973560281","0.0986256700053","0.144973961061","-0.0291004694647","-0.141856989204","0.0915268113663","0.105724528644","0.211896173965","0.211896173965","0","0.211896173965","0","0","0.102588563157","0.0479347577529","0.0479347577529","0.0479347577529","0.211896173965","0","0","0","0.0479347577529","0.00195710728281","-0.207981959399","-0.207981959399","-0.207981959399","-0.0373708146311","-0.207981959399","0.0537573951961","0.0566563861972","0.00743202904467","0.0555145508072","0.0215564773155","0.026388128984","0.0672028009512","0.0449329776034","0.0497646292719","0.0497748154182","0.0671506061097","0.000184551541971","0.0146795065474","0.0322424402023","0.0673071906342","0.199748084689","0.199748084689","0","0.199748084689","0","0","0.108305696233","0.0625845020045","0.0625845020045","0.0625845020045","0.199748084689","0","0","0","0.0625845020045","0.0761825503931","-0.0473829839029","-0.0473829839029","-0.0473829839029","0.0259286733687","Cluster_150","+","+/-/="
"2016-09-23","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.030872845828","-0.0230332956741","0.0241281985294","-0.0216482724699","0.0268982449376","0.0425773452455","-0.00788871077166","0.0336486752989","0.0441014088375","0.045948106443","-0.0384326833491","-0.0172579456634","-0.00680521212482","-0.00495851451934","0.00806849811586","0.20391245464","0.20391245464","0","0.20391245464","0","0","0.133485798372","0.0982724702378","0.0982724702378","0.0982724702378","0.125177200953","0.0464419472654","0.0464419472654","0.0464419472654","0.080995629247","0.125899331112","0.0478862075848","0.0478862075848","0.0478862075848","0.0814770493535","0.0471640774251","0.0873826410724","0.0113525977712","0.0323099801761","0.0299819639339","0.0695687125014","-0.0824913741011","0.0606490805211","0.107484990624","0.00611159955601","0.0309507544395","0.0572544312493","0.101827241838","0.000453850769606","0.0252930056531","0.0647991409574","0.218263177978","0.218263177978","0","0.218263177978","0","0","0.13170776148","0.0884300532313","0.0884300532313","0.0884300532313","0.142635839133","0.0670085002873","0.0670085002873","0.0670085002873","0.0812895355833","0.0880458993086","-0.0421713793612","-0.0421713793612","-0.0421713793612","0.0448962423671","0.0124185604631","-0.000218140834614","-0.0024411897106","0.0339853279927","-0.0368650078644","-0.0348623083149","-0.0393084060669","0.00600706848628","0.035923585753","0.0329595205851","-0.01293890362","-0.0158901832742","-0.000571833847737","-0.00353589901572","-0.0494343232208","0.00729810105666","0.209962685479","0.209962685479","0","0.209962685479","0","0","0.0712115419884","0.00183597024291","0.00183597024291","0.00183597024291","0.152137424813","0.094312164146","0.094312164146","0.094312164146","0.0326613682106","0.125649432191","0.0413361789033","0.0413361789033","0.0413361789033","0.015002706463","Cluster_150","-","+/-/="
"2016-09-24","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0282120484782","-0.0279233852019","-0.0267687320966","-0.0399503851924","-0.0869037320495","-0.0568362320731","0.00989372719834","0.162316829904","0.0677740489039","0.0377065489274","-0.0317223603824","-0.0457636079995","-0.036266170048","-0.0663336700245","0.0582766109525","0","0","0","0","0","0","0.00960505517482","0.00960505517482","0.00960505517482","0.00960505517482","0","0","0","0","0.00960505517482","0","0","0","0","0.00960505517482","0","-0.0282120484782","-0.0279233852019","-0.0267687320966","-0.0399503851924","-0.0869037320495","-0.0568362320731","0.00989372719834","0.162316829904","0.0677740489039","0.0377065489274","-0.0317223603824","-0.0457636079995","-0.036266170048","-0.0663336700245","0.0582766109525","0","0","0","0","0","0","0.00960505517482","0.00960505517482","0.00960505517482","0.00960505517482","0","0","0","0","0.00960505517482","0","0","0","0","0.00960505517482","Cluster_150","=","+/-/="
"2016-09-25","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0147458456967","0.046313373899","0.141015958506","-0.00443186750115","-0.0619650070948","0.0395254757055","0.0300846743796","0.0761011604284","0.108558559467","0.00706807666679","0.0148164745998","0.0149224179544","0.0569535981382","-0.0107067237287","0.0353153321124","-0.0084222603983","0","-0.0084222603983","0.243736143613","0.117656941607","0.243736143613","0.202669764594","0.132305756264","0.202669764594","0.216358557601","0","-0.0084222603983","0","0.243736143613","0.202669764594","0","-0.0084222603983","0","0.243736143613","0.202669764594","0","0.0147458456967","0.046313373899","0.141015958506","-0.00443186750115","-0.0619650070948","0.0395254757055","0.0300846743796","0.0761011604284","0.108558559467","0.00706807666679","0.0148164745998","0.0149224179544","0.0569535981382","-0.0107067237287","0.0353153321124","-0.0084222603983","0","-0.0084222603983","0.243736143613","0.117656941607","0.243736143613","0.202669764594","0.132305756264","0.202669764594","0.216358557601","0","-0.0084222603983","0","0.243736143613","0.202669764594","0","-0.0084222603983","0","0.243736143613","0.202669764594","Cluster_150","+","+/-/="
"2016-09-26","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0459914255782","0.0459914255782","0","0.0361852896841","-0.00303925389209","-0.00303925389209","0.0205682287536","-0.0302781648954","-0.0302781648954","-0.0211985278943","0.0700536826678","0.118178196847","0.118178196847","0.0777723799341","0.0439500159759","0.172818872394","0.172818872394","0","0.0819793804301","-0.00886011153371","-0.00886011153371","0.0666408021509","0.0312481120698","0.0312481120698","0.021221056169","0.172818872394","0","0","-0.00886011153371","0.0312481120698","0.172818872394","0","0","-0.00886011153371","0.0312481120698","0","0.158632405693","0.158632405693","0","0.0737514812985","-0.26577221628","-0.26577221628","0.128628567288","0.0686208904791","0.0686208904791","-0.0428434784407","0.125908166008","0.0604596866374","0.0604596866374","-0.0482842810018","0.0645402885583","0.236153826889","0.236153826889","0","0.0537097078201","-0.128734411249","-0.128734411249","0.0584218696538","-0.000822116091275","-0.000822116091275","-0.0328001898807","0.236153826889","0","0","-0.128734411249","-0.000822116091275","0.236153826889","0","0","-0.128734411249","-0.000822116091275","0","0.0835384189498","0.0835384189498","0","0.0487073535556","-0.0906169080214","-0.0906169080214","0.0565883415986","0.00268818689607","0.00268818689607","-0.0284135114098","0.0886718437812","0.0989386934439","0.0989386934439","0.0357534929555","0.05081344017","0.193930523892","0.193930523892","0","0.0725561562267","-0.0488182114388","-0.0488182114388","0.0639011579852","0.0205580360161","0.0205580360161","0.0032139741524","0.193930523892","0","0","-0.0488182114388","0.0205580360161","0.193930523892","0","0","-0.0488182114388","0.0205580360161","Cluster_150","-","+/-/="
"2016-09-29","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0290102053144","0.0326555221866","0.0472367896754","-0.00355165825429","-0.0686753853916","-0.0300379937026","0.0130225410459","-0.050928116028","-0.00184566317632","-0.0627596289371","0.0337952037887","0.0433652007374","0.0446557303834","-0.0126550923271","0.0119340951489","0.0102660647475","0.0102660647475","0","0.0102660647475","0","0","0.0257026150893","0.0462846822118","0.0462846822118","0.0462846822118","0.0102660647475","0","0","0","0.0462846822118","0.0102660647475","0","0","0","0.0462846822118","0","0.0423109734687","0.0283802186127","-0.027342800811","0.0174621370079","-0.0322355359137","-0.0306046242128","0.0503075427497","0.0822938198738","0.0274755095314","0.00594091601547","0.0192709405168","-0.026809125387","-0.026987017195","-0.0295223306503","0.00955852303327","-0.000884600286031","-0.000884600286031","0","-0.000884600286031","0","0","0.0420917463379","0.0993935418365","0.0993935418365","0.0993935418365","-0.000884600286031","0","0","0","0.0993935418365","-0.000884600286031","0","0","0","0.0993935418365","0","0.0191841826076","0.0237386357393","0.0419564482661","-0.0161986001752","-0.0869641657408","-0.0439906277385","0.0332012445446","0.0892694922928","0.0656129702794","-0.0282196130629","0.0243265494419","0.0346112831105","0.0370596714957","-0.0261764413151","0.0528306861713","0.0260667023044","0.0260667023044","0","0.0260667023044","0","0","0.0605593969737","0.106549656533","0.106549656533","0.106549656533","0.0260667023044","0","0","0","0.106549656533","0.0260667023044","0","0","0","0.106549656533","Cluster_150","-","+/-/="
"2016-09-30","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0160647699853","0.0220158158669","0.0587879398934","-0.00670648308054","0.00939316707767","0.0246310602947","0.0352639959796","0.0852843001188","0.0701458512498","0.0511274205201","-0.00928541320827","-0.0038145182569","0.0107466389993","-0.0379713978556","0.0284108791496","0.0251784688578","0.0408072164948","-0.0145707899086","0.0567746589688","-0.0380139113642","0.00887233154696","0.0610663662435","0.0309007452241","0.0465294928612","0.0653580735183","-0.015967852019","-0.0997333926794","-0.0762902712238","-0.161452873995","-0.0102455756527","0.0567746589688","-0.0380139113642","0.00887233154696","0","0.0653580735183","-0.161452873995","0.0210067369888","0.0192089047001","0.00353186299767","0.0114543204801","-0.0354089313647","-0.0107967617654","0.0373838110994","0.0398816757964","0.0311929198089","0.0255530510333","0.0362826289205","0.0376793114385","0.0297246769036","0.0233506866754","0.0539578854361","0.0411200007339","0.0438078962767","0.0467130164864","0.0403394145147","0.0426811731722","0.0507448598006","0.0343291936828","0.033106372958","0.0357942685008","0.0283189728509","0.0303699640139","0.0265561180923","0.0305879614065","0.0104310630124","0.0223563362381","0.0403394145147","0.0426811731722","0.0507448598006","0","0.0283189728509","0.0104310630124","0.0188887511302","0.0204118666287","0.0272130388101","0.0036711189541","-0.0162080320322","0.00438659054607","0.0364753189052","0.0593399433631","0.0478870332836","0.0365134950991","0.0167534680082","0.019896241569","0.0215912320875","-0.00293020669503","0.0430091684562","0.0342879156441","0.0425218906559","0.0204485280314","0.0473830907093","0.0080975655137","0.032799490549","0.0457879819231","0.0321611039292","0.040395078941","0.0441928731369","0.0105108999998","-0.0275679579527","-0.0152169954351","-0.0632334814192","0.00838408828489","0.0473830907093","0.0080975655137","0.032799490549","0","0.0441928731369","Cluster_150","+","+/-/="
"2016-10-01","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00453834853758","-0.0354267715195","0.0844685886517","-0.0202774256519","0.024737476361","-0.00512807978428","-0.0163666558246","0.0299518361308","0.00269345987032","-0.00121730995698","-0.0340837557629","0.0265354322009","-0.0313977242498","-0.0138846279395","-0.00867026816972","-0.0258751772286","0","-0.0258751772286","0","-0.0258751772286","0","0.148530671225","0.0903953884071","0.148530671225","0.148530671225","0","-0.0258751772286","0","0","0.148530671225","0","-0.0258751772286","0","0","0.148530671225","0","0.0688433846415","0.110740769177","-0.0149513844294","0.0539404426976","-0.00689038399759","-0.0028598837817","0.0970711664385","0.0506172476569","0.0834015637001","0.0402708399592","0.106725227087","0.041871379239","0.0986941429074","0.030991458448","0.0884990901025","0.0857094973355","0","0.0857094973355","0","0.0857094973355","0","0.0919362426323","0.0898606608667","0.0919362426323","0.0919362426323","0","0.0857094973355","0","0","0.0919362426323","0","0.0857094973355","0","0","0.0919362426323","0","0.0444949001996","0.0341543975668","0.0651759054652","-0.0039087537964","-0.00625596828467","-0.0419719051596","0.0166593678001","0.0211681938441","-0.000835661966524","-0.0214037835631","0.0138628284035","0.019227797771","-0.0267203099232","-0.0368880400808","-0.0094638779521","0.0228790175775","0","0.0228790175775","0","0.0228790175775","0","0.0515885793002","0.0420187253926","0.0515885793002","0.0515885793002","0","0.0228790175775","0","0","0.0515885793002","0","0.0228790175775","0","0","0.0515885793002","Cluster_150","+","+/-/="
"2016-10-02","Morgan Chase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.000499729909075","-0.00509998478025","-0.012000367087","0.0270116422913","0.109545758892","0.0285150082394","-0.00801227991166","-0.0192811049155","-0.0156407360013","0.0236611830204","0.0485470399972","0.195687349716","0.0572288718474","0.152616554304","0.0523750466283","-0.420881428268","0.0946299778429","-0.163125725213","-0.00748472818173","-0.214183078225","0.0435726248306","-0.0453904110677","-0.170554083468","0.00128305190252","-0.032755183439","0.21316518875","-0.103858119759","0.153897583296","0.102840230284","0.0407947888715","0","-0.420881428268","0.0946299778429","-0.00748472818173","-0.0453904110677","0.21316518875","-0.000499729909075","-0.00509998478025","-0.012000367087","0.0270116422913","0.109545758892","0.0285150082394","-0.00801227991166","-0.0192811049155","-0.0156407360013","0.0236611830204","0.0485470399972","0.195687349716","0.0572288718474","0.152616554304","0.0523750466283","-0.420881428268","0.0946299778429","-0.163125725213","-0.00748472818173","-0.214183078225","0.0435726248306","-0.0453904110677","-0.170554083468","0.00128305190252","-0.032755183439","0.21316518875","-0.103858119759","0.153897583296","0.102840230284","0.0407947888715","0","-0.420881428268","0.0946299778429","-0.00748472818173","-0.0453904110677","Cluster_150","-","+/-/="
