"DATE","COMPANY","trusted","greatness","authentic","blockbuster","convenient","gaining","providence","thinner","benefits","improvements","perfection","helped","competitive","encourage","amusing","fair","right","interests","relaxed","clearly","luxury","enterprising","safe","loved","cheapest","humour","cleared","applaud","slick","uplifting","golden","reclaim","empower","benefit","scenic","serenity","excitement","work","invaluable","honoring","appeal","accomplish","instrumental","famous","keen","approval","favour","wonder","promising","comfort","benefits","upgraded","strongest","exceptional","unreal","loved","lover","helped","recommendation","quiet","cleaner","innovation","helping","superior","safely","thank","promise","favorite","generous","grateful","bullish","colorful","precise","afford","innovative","beloved","heaven","recommendations","honor","love","fresh","confidence","dynamic","significant","gains","foul","fail","virus","error","slump","volatility","dumping","anger","bugs","leaks","pan","broken","sucks","suffer","stuck","tumble","loser","disturb","bust","losing","neglect","scary","fever","scare","mistake","denied","vibrating","mysterious","conflict","hypocritical","bitch","sabotage","protest","deplorable","poorly","demonic","skinny","sharply","corrupt","gape","cheat","diss","slower","moan","dent","sued","hurt","tired","bust","bloody","illness","biases","abuses","slime","struck","emergency","illegal","damaging","blind","taboo","screwed","feint","regrets","anxiety","disprove","confront","blackmail","stupid","blunder","cruelty","delusional","overwhelmingly","phony","blasted","backward","crashes","drastically","ranting","crappy","intimidating","gossip","odd","insult","harms","absurd","invader","fails","vague","clash","scared","trick","dumb","+/-/="
"2016-09-19","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00275103163686","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00687757909216","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.00687757909216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00275103163686","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.00687757909216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.00962861072902","0.0","0.0","0.0","0.00137551581843","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.00275103163686","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00137551581843","0.0","0.0","0.0","0.0","0.0","+"
"2016-09-20","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0025974025974","0.0","0.0","0.0","0.0","0.0038961038961","0.0","0.0","0.0012987012987","0.0","0.0","0.0","0.0012987012987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0103896103896","0.0","0.0","0.0","0.0","0.0","0.0012987012987","0.0","0.0","0.0","0.0025974025974","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0012987012987","0.0","0.0025974025974","0.0","0.0","0.0","0.0012987012987","0.0025974025974","0.0","0.0","0.0025974025974","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0012987012987","0.0012987012987","0.0","0.0012987012987","0.0","0.0","0.00909090909091","0.0025974025974","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0012987012987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0012987012987","0.0012987012987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","+"
"2016-09-23","Merck","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.0","0.00692041522491","0.00173010380623","0.0","0.0","0.00346020761246","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00692041522491","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.00173010380623","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.00173010380623","0.00173010380623","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.0","0.00346020761246","0.0","0.0","0.0415224913495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00173010380623","0.0","0.0","0.0","-"
"2016-09-24","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.006","0.002","0.0","0.0","0.002","0.0","0.0","0.004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.004","0.0","0.0","0.002","0.004","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.004","0.0","0.0","0.0","0.002","0.0","0.0","0.004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.016","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.0","+"
"2016-09-25","Merck","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00178890876565","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00357781753131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0232558139535","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00178890876565","0.0","0.0","0.0","0.0","0.0","0.00357781753131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00178890876565","0.0","0.0","0.0","+"
"2016-09-26","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.00406504065041","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.00271002710027","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.00271002710027","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.00271002710027","0.0","0.0","0.0","0.0","0.0135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.00135501355014","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00135501355014","0.0","-"
"2016-09-27","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00718390804598","0.0","0.0","0.0014367816092","0.0014367816092","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.00287356321839","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0014367816092","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.00287356321839","0.0","0.0","0.0014367816092","0.0014367816092","0.0014367816092","0.0215517241379","0.00287356321839","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00287356321839","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0014367816092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","+"
"2016-09-30","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00389105058366","0.0","0.0","0.0","0.00129701686122","0.0","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.0","0.0","0.0","0.00259403372244","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.00129701686122","0.0","0.0","0.00259403372244","0.0","0.00129701686122","0.0","0.00129701686122","0.0","0.0","0.0","0.00259403372244","0.0","0.0","0.0","0.00129701686122","0.0","0.00907911802853","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00259403372244","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00129701686122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","+"
"2016-10-01","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00674157303371","0.0","0.0","0.0","0.0","0.0","0.00224719101124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00224719101124","0.00224719101124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00224719101124","0.0","0.0","0.0","0.0","0.00449438202247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00224719101124","0.00224719101124","0.0","0.00449438202247","0.0112359550562","0.0","0.0","0.0","0.0","0.00224719101124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00224719101124","0.0","-"
"2016-10-02","Merck","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00913242009132","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0114155251142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00456621004566","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00228310502283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","+"
