Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-08-22	134.300003	135.669998	133.839996	134.990005	2520500	134.990005	+	0.513776608032	
2016-08-19	134.50	135.00	133.839996	134.440002	1922600	134.440002	-	-0.0446081784387	
2016-08-18	134.720001	135.960007	134.529999	135.00	2030800	135.00	+	0.207837735987	
2016-08-17	134.850006	134.990005	134.110001	134.720001	2854600	134.720001	-	-0.0964071147316	
2016-08-16	134.149994	135.210007	133.399994	135.00	2759200	135.00	+	0.633623584061	
2016-08-15	133.699997	135.00	133.550003	134.660004	2812600	134.660004	+	0.718030681781	
2016-08-12	132.899994	133.779999	132.630005	133.100006	2522600	133.100006	+	0.150498125681	
2016-08-11	132.850006	133.559998	132.300003	133.00	2275700	133.00	+	0.112904774728	
2016-08-10	132.100006	133.529999	131.710007	132.279999	2642200	132.279999	+	0.136255103577	
2016-08-09	132.729996	132.990005	132.229996	132.619995	3013900	131.529999	-	-0.0828757653244	
